Txn Calendar Date,Txn Check or Reference Number,Acct Number,Acct Account Short Name,Line Of Business,User ID,User Email,User Short Name,User Display Name,Txn  Amount
4/29/2026,489532,3920748,Eastgate Holdings LTD,Commercial Real Estate,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,11117.74
4/29/2026,489533,4837294,Whitefield Partners LLC,Commercial Banking,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,10146.41
4/29/2026,489534,5748293,Broadstone Capital INC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,26151.58
4/29/2026,489535,6293748,Harborstone Group LTD,Other,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson,26151.58
4/29/2026,489536,7483926,Ridgewood Enterprises LLC,Commercial Banking,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown,10146.48
4/29/2026,489537,8374293,Stonefield Financial INC,Commercial Real Estate,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter,33478.57
4/29/2026,489538,9283748,Bluefield Holdings LTD,Private Wealth,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,33478.56
4/29/2026,489539,1748293,Greenridge Capital LLC,Commercial Banking,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,33478.56
4/29/2026,489540,2839274,Northfield Ventures INC,Retail & Digital Banking,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster,10146.41
4/29/2026,489541,3748293,Lakefield Advisory LTD,Commercial Real Estate,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia,26151.58
4/29/2026,489542,4920374,Redridge Partners LLC,Commercial Banking,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris,1875
4/29/2026,489543,5837294,Summit Ridge Group INC,Private Wealth,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin,94211.61
4/29/2026,489544,6748293,Westfield Holdings LTD,Commercial Real Estate,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,112198.59
4/29/2026,489545,7293748,Maplefield Enterprises LLC,Commercial Banking,W992073,kate.king@cibc.com,ad\kking,Kate King,140357.26
4/29/2026,489546,8374293,Goldridge Financial INC,Other,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,9131
4/29/2026,489547,9283748,Ironfield Group LTD,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,161055.13
4/29/2026,489548,1839274,Clearridge Capital LLC,Commercial Banking,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson,8780.83
4/29/2026,489549,2748293,Sunstone Investments INC,Commercial Real Estate,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,7805.09
4/29/2026,489550,3920748,Eastfield Holdings LTD,Retail & Digital Banking,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,104.84
4/29/2026,489551,4837294,Whitestone Partners INC,Commercial Banking,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,254487.93
4/29/2026,489552,5748293,Broadfield Capital LLC,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,925
4/29/2026,489553,6293748,Harborfield Group LTD,Commercial Real Estate,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts,1769.97
4/29/2026,489554,7483926,Ridgefield Enterprises INC,Commercial Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,8365.89
4/29/2026,489555,8374293,Stonegate Financial LLC,Other,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor,7667.18
4/29/2026,489556,9283748,Bluegate Holdings LTD,Private Wealth,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,74.11
4/28/2026,467697,1748293,Greengate Capital INC,Commercial Banking,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,29
4/28/2026,480068,2839274,Northgate Ventures LLC,Commercial Real Estate,W992085,wes.white@cibc.com,ad\wwhite2,Wes White,29750
4/28/2026,480069,3748293,Lakegate Advisory LTD,Private Wealth,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,9081
4/28/2026,485242,4920374,Redgate Partners INC,Commercial Banking,W992087,yara.young@cibc.com,ad\yyoung,Yara Young,1597.93
4/28/2026,485584,5837294,Summit Gate Group LLC,Retail & Digital Banking,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,718.5
4/28/2026,485585,6748293,Westgate Capital LTD,Commercial Real Estate,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen,1108.71
4/28/2026,485586,7293748,Maplegate Enterprises INC,Commercial Banking,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,1108.71
4/28/2026,485587,8374293,Goldgate Financial LLC,Private Wealth,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,1108.71
4/28/2026,485588,9283748,Irongate Group LTD,Commercial Real Estate,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,1108.71
4/28/2026,485589,1839274,Cleargate Capital INC,Other,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis,2159.08
4/28/2026,485590,2748293,Sungate Investments LLC,Commercial Banking,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,1108.71
4/28/2026,485591,3920748,Eastgate Capital LTD,Private Wealth,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster,1108.71
4/28/2026,485592,4837294,Whitegate Partners INC,Commercial Real Estate,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia,1108.71
4/28/2026,485593,5748293,Broadgate Capital LLC,Commercial Banking,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,1108.71
4/28/2026,485594,6293748,Harborgate Group LTD,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,6331.82
4/28/2026,485595,7483926,Ridgegate Enterprises INC,Commercial Real Estate,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones,75
4/28/2026,485596,8374293,Stonegate Capital LLC,Commercial Banking,W992073,kate.king@cibc.com,ad\kking,Kate King,15686.04
4/28/2026,485597,9283748,Bluegate Financial LTD,Retail & Digital Banking,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,1044.96
4/28/2026,485598,1748293,Greengate Holdings INC,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,10000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
