AsOfDate,Acct Number,Acct Account Short Name,Line Of Business,User ID,User Email,User Short Name,User Display Name,CUSTNBR,CUST_NAME,PRODUCT_TYPE
6/1/2026,6291847,Harborview Capital LTD,Commercial Real Estate,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang,847615,IRONGATE EQUITY PARTNERS INC,Commitment
6/1/2026,7483920,Zenith Consulting LLC,Other,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams,847615,IRONGATE EQUITY PARTNERS INC,Commitment
6/1/2026,8374619,Meridian Holdings INC,Commercial Banking,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker,861023,WESTFORD PRIVATE EQUITY LLC,Deposit
6/1/2026,9274831,Lakeside Financial LTD,Private Wealth,W992016,brian.clark@cibc.com,ad\bclark,Brian Clark,861023,WESTFORD PRIVATE EQUITY LLC,Commitment
6/1/2026,1837264,Northstar Enterprises LLC,Commercial Real Estate,W992017,cynthia.davis@cibc.com,ad\cdavis,Cynthia Davis,874390,HARLOW STRUCTURED FINANCE INC,Deposit
6/1/2026,2948371,Coastal Dynamics INC,Retail & Digital Banking,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards,901234,GREYSTONE FABRICATION LLC,Commitment
6/1/2026,3847291,Summit Ridge Capital LTD,Commercial Banking,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher,901234,GREYSTONE FABRICATION LLC,Deposit
6/1/2026,4738291,Falcon Asset Management LLC,Private Wealth,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia,915678,IRONCLAD PRECISION PARTS INC,Commitment
6/1/2026,5920183,Grandview Investments INC,Commercial Real Estate,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill,915678,IRONCLAD PRECISION PARTS INC,Deposit
6/1/2026,6847392,Clearwater Holdings LTD,Commercial Banking,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill,928345,DURATEK INDUSTRIAL SUPPLY LLC,Commitment
6/1/2026,7293847,Ironwood Partners LLC,Other,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving,928345,DURATEK INDUSTRIAL SUPPLY LLC,Deposit
6/1/2026,8374920,Pacific Crest Capital INC,Commercial Banking,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson,941207,SUMMIT RIDGE TOOLING INC,Commitment
6/1/2026,9483726,Westfield Advisory LTD,Private Wealth,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly,941207,SUMMIT RIDGE TOOLING INC,Deposit
6/1/2026,1293847,Bridgepoint Enterprises LLC,Commercial Real Estate,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,1023456,HARBORVIEW DEVELOPMENT LLC,Commitment
6/1/2026,2748391,Keystone Financial INC,Commercial Banking,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin,1023456,HARBORVIEW DEVELOPMENT LLC,Deposit
6/1/2026,3920847,Riverview Holdings LTD,Retail & Digital Banking,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson,1037891,STONEGATE PROPERTY GROUP INC,Commitment
6/1/2026,4837261,Highmark Capital LLC,Private Wealth,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens,1037891,STONEGATE PROPERTY GROUP INC,Deposit
6/1/2026,5748392,Cornerstone Ventures INC,Commercial Banking,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker,1052340,LAKEVIEW MULTIFAMILY PARTNERS LLC,Commitment
6/1/2026,6293847,Bluewater Group LTD,Commercial Real Estate,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn,1052340,LAKEVIEW MULTIFAMILY PARTNERS LLC,Deposit
6/1/2026,7483921,Crestwood Partners LLC,Private Wealth,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos,1066789,REDWOOD COMMERCIAL REALTY LLC,Commitment
6/1/2026,8374291,Oakridge Investments INC,Commercial Banking,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,1101234,GOLDEN PLAINS GRAIN LLC,Commitment
6/1/2026,9283746,Silverstone Holdings LTD,Other,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,1101234,GOLDEN PLAINS GRAIN LLC,Deposit
6/1/2026,1748392,Greenfield Capital LLC,Commercial Real Estate,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,1115678,HEARTLAND SEED COOPERATIVE INC,Commitment
6/1/2026,2839471,Northgate Enterprises INC,Commercial Banking,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez,1115678,HEARTLAND SEED COOPERATIVE INC,Deposit
6/1/2026,3748920,Lakeview Advisory LTD,Private Wealth,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,1130123,PRAIRIEWIND LIVESTOCK LLC,Commitment
6/1/2026,4920371,Redstone Partners LLC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,1130123,PRAIRIEWIND LIVESTOCK LLC,Deposit
6/1/2026,5837492,Horizon Peak Capital INC,Commercial Real Estate,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman,1144567,SILO RIDGE FARMS INC,Commitment
6/1/2026,6748391,Westbrook Holdings LTD,Retail & Digital Banking,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks,1201345,CLEARWATER ENERGY SOLUTIONS LLC,Commitment
6/1/2026,7293841,Maple Leaf Ventures LLC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,1201345,CLEARWATER ENERGY SOLUTIONS LLC,Deposit
6/1/2026,8374926,Goldcrest Financial INC,Private Wealth,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,1234567,AUTOMAGICIANS LTD,Commitment
6/2/2026,9283741,Ironbridge Group LTD,Commercial Real Estate,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis,,,Deposit
6/3/2026,1839274,Clearfield Capital LLC,Commercial Banking,W992042,eric.ford@cibc.com,ad\eford,Eric Ford,,,Commitment
6/4/2026,2748293,Sunridge Investments INC,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,,,Deposit
6/5/2026,3920748,Eastwood Holdings LTD,Private Wealth,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,,,Commitment
6/6/2026,4837294,Whitestone Partners LLC,Commercial Banking,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram,,,Deposit
6/7/2026,5748293,Broadview Capital INC,Commercial Real Estate,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,,,Commitment
6/8/2026,6293748,Harborlight Group LTD,Private Wealth,W992047,janet.king@cibc.com,ad\jking,Janet King,,,Deposit
6/9/2026,7483926,Ridgeline Enterprises LLC,Commercial Banking,W992047,janet.king@cibc.com,ad\jking,Janet King,,,Commitment
6/10/2026,8374293,Stonewall Financial INC,Retail & Digital Banking,W992048,keith.lawson@cibc.com,ad\klawson,Keith Lawson,,,Deposit
6/11/2026,9283748,Bluestone Holdings LTD,Commercial Real Estate,W992049,lisa.mitchell@cibc.com,ad\lmitchell,Lisa Mitchell,,,Commitment
6/12/2026,1748293,Greenstone Capital LLC,Private Wealth,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman,,,Deposit
6/13/2026,2839274,Northbrook Ventures INC,Commercial Banking,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,,,Commitment
6/14/2026,3748293,Lakewood Advisory LTD,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,,,Deposit
6/15/2026,4920374,Redfield Partners LLC,Other,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn,,,Commitment
6/16/2026,5837294,Summit Capital Group INC,Commercial Banking,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross,,,Deposit
6/17/2026,6748293,Westgate Holdings LTD,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone,,,Commitment
6/18/2026,7293748,Maplewood Enterprises LLC,Commercial Real Estate,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,,,Deposit
6/19/2026,8374293,Goldfield Financial INC,Commercial Banking,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood,,,Commitment
6/20/2026,9283748,Ironstone Group LTD,Retail & Digital Banking,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance,,,Deposit
6/21/2026,1839274,Clearstone Capital LLC,Private Wealth,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker,,,Commitment
6/22/2026,2748293,Sunfield Investments INC,Commercial Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,,,Deposit
6/23/2026,3920748,Eastgate Holdings LTD,Commercial Real Estate,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,,,Commitment
6/24/2026,4837294,Whitefield Partners LLC,Commercial Banking,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,,,Deposit
6/25/2026,5748293,Broadstone Capital INC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,,,Commitment
6/26/2026,6293748,Harborstone Group LTD,Other,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson,,,Deposit
6/27/2026,7483926,Ridgewood Enterprises LLC,Commercial Banking,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown,,,Commitment
6/28/2026,8374293,Stonefield Financial INC,Commercial Real Estate,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter,,,Deposit
6/29/2026,9283748,Bluefield Holdings LTD,Private Wealth,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,,,Commitment
6/30/2026,1748293,Greenridge Capital LLC,Commercial Banking,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,,,Deposit
7/1/2026,2839274,Northfield Ventures INC,Retail & Digital Banking,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster,,,Commitment
7/2/2026,3748293,Lakefield Advisory LTD,Commercial Real Estate,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia,,,Deposit
7/3/2026,4920374,Redridge Partners LLC,Commercial Banking,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris,,,Commitment
7/4/2026,5837294,Summit Ridge Group INC,Private Wealth,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin,,,Deposit
7/5/2026,6748293,Westfield Holdings LTD,Commercial Real Estate,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,,,Commitment
7/6/2026,7293748,Maplefield Enterprises LLC,Commercial Banking,W992073,kate.king@cibc.com,ad\kking,Kate King,,,Deposit
7/7/2026,8374293,Goldridge Financial INC,Other,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,,,Commitment
7/8/2026,9283748,Ironfield Group LTD,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,,,Deposit
7/9/2026,1839274,Clearridge Capital LLC,Commercial Banking,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson,,,Commitment
7/10/2026,2748293,Sunstone Investments INC,Commercial Real Estate,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,,,Deposit
7/11/2026,3920748,Eastfield Holdings LTD,Retail & Digital Banking,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,,,Commitment
7/12/2026,4837294,Whitestone Partners INC,Commercial Banking,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,,,Deposit
7/13/2026,5748293,Broadfield Capital LLC,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,,,Commitment
7/14/2026,6293748,Harborfield Group LTD,Commercial Real Estate,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts,,,Deposit
7/15/2026,7483926,Ridgefield Enterprises INC,Commercial Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,,,Commitment
7/16/2026,8374293,Stonegate Financial LLC,Other,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor,,,Deposit
7/17/2026,9283748,Bluegate Holdings LTD,Private Wealth,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,,,Commitment
7/18/2026,1748293,Greengate Capital INC,Commercial Banking,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,,,Deposit
7/19/2026,2839274,Northgate Ventures LLC,Commercial Real Estate,W992085,wes.white@cibc.com,ad\wwhite2,Wes White,,,Commitment
7/20/2026,3748293,Lakegate Advisory LTD,Private Wealth,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,,,Deposit
7/21/2026,4920374,Redgate Partners INC,Commercial Banking,W992087,yara.young@cibc.com,ad\yyoung,Yara Young,,,Commitment
7/22/2026,5837294,Summit Gate Group LLC,Retail & Digital Banking,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,,,Deposit
7/23/2026,6748293,Westgate Capital LTD,Commercial Real Estate,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen,,,Commitment
7/24/2026,7293748,Maplegate Enterprises INC,Commercial Banking,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,,,Deposit
7/25/2026,8374293,Goldgate Financial LLC,Private Wealth,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,,,Commitment
7/26/2026,9283748,Irongate Group LTD,Commercial Real Estate,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,,,Deposit
7/27/2026,1839274,Cleargate Capital INC,Other,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis,,,Commitment
7/28/2026,2748293,Sungate Investments LLC,Commercial Banking,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,,,Deposit
7/29/2026,3920748,Eastgate Capital LTD,Private Wealth,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster,,,Commitment
7/30/2026,4837294,Whitegate Partners INC,Commercial Real Estate,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia,,,Deposit
7/31/2026,5748293,Broadgate Capital LLC,Commercial Banking,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,,,Commitment
8/1/2026,6293748,Harborgate Group LTD,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,,,Deposit
8/2/2026,7483926,Ridgegate Enterprises INC,Commercial Real Estate,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones,,,Commitment
8/3/2026,8374293,Stonegate Capital LLC,Commercial Banking,W992073,kate.king@cibc.com,ad\kking,Kate King,,,Deposit
8/4/2026,9283748,Bluegate Financial LTD,Retail & Digital Banking,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,,,Commitment
8/5/2026,1748293,Greengate Holdings INC,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,,,Deposit
