Full Date,Acct Number,Acct Account Short Name,Line Of Business,User ID,Email,Name Short,Display Name,Trans Posting Sequence Code,Acct Consumer Account Indicator,Acct Cost Center Number,Trans Exceptions Trans Desc,Trans Dflt Action Item Dpstn Cde,Trans Lst Action Item Dpstn Cde,Trans Amount,Acct Available Posting Balance,Acct Ledger Balance,Acct Ledger Posting Balance,Trans Exception Reason 1 Code,Trans Exception Reason 1 Desc
04/01/2026,2847561,Monarch Industries INC,Commercial Real Estate,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang,5,N,0000721,CHECK,PN,PN,527.50,"-7,528.89","-7,528.89","-7,528.89",020,OVERDRAWN
04/01/2026,3748291,Silverline Group LTD,Private Wealth,W992011,william.xu@cibc.com,ad\wxu,William Xu,6,N,0000721,CHECK,PN,PN,402.87,"-7,528.89","-7,528.89","-7,528.89",020,OVERDRAWN
04/01/2026,4920183,Titan Wealth Management LLC,Private Wealth,W992011,william.xu@cibc.com,ad\wxu,William Xu,7,N,0000721,CHECK,PN,PN,400.00,"-7,528.89","-7,528.89","-7,528.89",020,OVERDRAWN
04/01/2026,5837264,Cascade Investments INC,Commercial Banking,W992012,xena.young@cibc.com,ad\xyoung,Xena Young,8,N,0000721,PREAUTHORIZED WD,PN,PN,281.14,"-7,528.89","-7,528.89","-7,528.89",020,OVERDRAWN
04/01/2026,6291847,Harborview Capital LTD,Commercial Real Estate,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang,9,N,0000721,PREAUTHORIZED WD,PN,PN,50.00,"-7,528.89","-7,528.89","-7,528.89",020,OVERDRAWN
04/01/2026,7483920,Zenith Consulting LLC,Other,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams,1,N,0000660,MAINTENANCE FEE,PO,PO,17.28,-834.34,-834.34,-834.34,022,OD > LIMIT
04/01/2026,8374619,Meridian Holdings INC,Commercial Banking,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker,1,Y,0000650,MAINTENANCE FEE,PO,PO,3.00,-1.02,-1.02,-1.02,021,OD > 0 BAL
04/01/2026,9274831,Lakeside Financial LTD,Private Wealth,W992016,brian.clark@cibc.com,ad\bclark,Brian Clark,1,Y,0000660,PREAUTHORIZED WD,R,R,"6,258.18","-2,735.72","3,522.46","-2,735.72",022,OD > LIMIT
04/01/2026,1837264,Northstar Enterprises LLC,Commercial Real Estate,W992017,cynthia.davis@cibc.com,ad\cdavis,Cynthia Davis,1,Y,0000650,MAINTENANCE FEE,PO,PO,3.00,-3.00,-3.00,-3.00,021,OD > 0 BAL
04/01/2026,2948371,Coastal Dynamics INC,Retail & Digital Banking,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards,1,Y,0000017,MAINTENANCE FEE,PO,PO,3.00,-3.00,-3.00,-3.00,021,OD > 0 BAL
04/01/2026,3847291,Summit Ridge Capital LTD,Commercial Banking,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher,1,Y,0000650,SERVICE CHARGE,PO,PO,5.00,-2.46,-2.46,-2.46,021,OD > 0 BAL
04/01/2026,4738291,Falcon Asset Management LLC,Private Wealth,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia,1,Y,0000660,MAINTENANCE FEE,PO,PO,3.00,-2.93,-2.93,-2.93,021,OD > 0 BAL
04/01/2026,5920183,Grandview Investments INC,Commercial Real Estate,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill,1,Y,0000660,MAINTENANCE FEE,PO,PO,3.00,-2.88,-2.88,-2.88,021,OD > 0 BAL
04/01/2026,6847392,Clearwater Holdings LTD,Commercial Banking,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill,1,N,0000001,ADVICE OF DEBIT,PO,PO,87.88,-981.72,-981.72,-981.72,021,OD > 0 BAL
04/01/2026,7293847,Ironwood Partners LLC,Other,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving,2,N,0000001,ADVICE OF DEBIT,PO,PO,54.11,-981.72,-981.72,-981.72,021,OD > 0 BAL
04/01/2026,8374920,Pacific Crest Capital INC,Commercial Banking,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson,3,N,0000001,ADVICE OF DEBIT,PO,PO,22.99,-981.72,-981.72,-981.72,021,OD > 0 BAL
04/01/2026,9483726,Westfield Advisory LTD,Private Wealth,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly,1,N,0000744,PREAUTHORIZED WD,R,P,"180,689.28","-180,886.13","-180,886.13","-180,886.13",021,OD > 0 BAL
04/01/2026,1293847,Bridgepoint Enterprises LLC,Commercial Real Estate,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,2,N,0000744,PREAUTHORIZED WD,R,P,197.48,"-180,886.13","-180,886.13","-180,886.13",021,OD > 0 BAL
04/01/2026,2748391,Keystone Financial INC,Commercial Banking,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin,1,N,0000923,MAINTENANCE FEE,PO,PO,10.85,-109.24,-109.24,-109.24,022,OD > LIMIT
04/01/2026,3920847,Riverview Holdings LTD,Retail & Digital Banking,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson,1,N,0000744,PREAUTHORIZED WD,R,P,"45,929.94","-46,727.35","-46,727.35","-46,727.35",021,OD > 0 BAL
04/01/2026,4837261,Highmark Capital LLC,Private Wealth,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens,2,N,0000744,PREAUTHORIZED WD,R,P,798.13,"-46,727.35","-46,727.35","-46,727.35",021,OD > 0 BAL
04/01/2026,5748392,Cornerstone Ventures INC,Commercial Banking,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker,1,N,0000923,POS PURCHASE,PON,PON,100.00,"-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,6293847,Bluewater Group LTD,Commercial Real Estate,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn,2,N,0000923,CHECK,PN,PN,"28,500.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,7483921,Crestwood Partners LLC,Private Wealth,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos,3,N,0000923,CHECK,PN,PN,"28,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,8374291,Oakridge Investments INC,Commercial Banking,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,4,N,0000923,CHECK,PN,PN,"25,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,9283746,Silverstone Holdings LTD,Other,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,5,N,0000923,CHECK,PN,PN,"18,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,1748392,Greenfield Capital LLC,Commercial Real Estate,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,6,N,0000923,CHECK,PN,PN,"6,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,2839471,Northgate Enterprises INC,Commercial Banking,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez,7,N,0000923,CHECK,PN,PN,"6,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,3748920,Lakeview Advisory LTD,Private Wealth,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,8,N,0000923,CHECK,PN,PN,"5,950.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,4920371,Redstone Partners LLC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,9,N,0000923,CHECK,PN,PN,"5,800.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,5837492,Horizon Peak Capital INC,Commercial Real Estate,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman,10,N,0000923,CHECK,PN,PN,"5,800.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,6748391,Westbrook Holdings LTD,Retail & Digital Banking,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks,11,N,0000923,CHECK,PN,PN,"5,500.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,7293841,Maple Leaf Ventures LLC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,12,N,0000923,CHECK,PN,PN,"5,500.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,8374926,Goldcrest Financial INC,Private Wealth,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,13,N,0000923,CHECK,PN,PN,"5,430.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,9283741,Ironbridge Group LTD,Commercial Real Estate,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis,14,N,0000923,CHECK,PN,PN,"5,400.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,1839274,Clearfield Capital LLC,Commercial Banking,W992042,eric.ford@cibc.com,ad\eford,Eric Ford,15,N,0000923,CHECK,PN,PN,"5,400.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,2748293,Sunridge Investments INC,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,16,N,0000923,CHECK,PN,PN,"5,300.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,3920748,Eastwood Holdings LTD,Private Wealth,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,17,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,4837294,Whitestone Partners LLC,Commercial Banking,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram,18,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,5748293,Broadview Capital INC,Commercial Real Estate,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,19,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,6293748,Harborlight Group LTD,Private Wealth,W992047,janet.king@cibc.com,ad\jking,Janet King,20,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,7483926,Ridgeline Enterprises LLC,Commercial Banking,W992047,janet.king@cibc.com,ad\jking,Janet King,21,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,8374293,Stonewall Financial INC,Retail & Digital Banking,W992048,keith.lawson@cibc.com,ad\klawson,Keith Lawson,22,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,9283748,Bluestone Holdings LTD,Commercial Real Estate,W992049,lisa.mitchell@cibc.com,ad\lmitchell,Lisa Mitchell,23,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,1748293,Greenstone Capital LLC,Private Wealth,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman,24,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,2839274,Northbrook Ventures INC,Commercial Banking,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,25,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,3748293,Lakewood Advisory LTD,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,26,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,4920374,Redfield Partners LLC,Other,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn,27,N,0000923,CHECK,PN,PN,"5,000.00","-53,217.70","-53,322.70","-53,217.70",020,OVERDRAWN
04/01/2026,5837294,Summit Capital Group INC,Commercial Banking,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross,28,N,0000923,CHECK,P,P,"5,000.00","-53,217.70","-53,322.70","-53,217.70",021,OD > 0 BAL
04/01/2026,6748293,Westgate Holdings LTD,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone,29,N,0000923,CHECK,R,P,"5,000.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,7293748,Maplewood Enterprises LLC,Commercial Real Estate,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,30,N,0000923,CHECK,R,P,"4,500.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,8374293,Goldfield Financial INC,Commercial Banking,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood,31,N,0000923,CHECK,R,P,"4,500.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,9283748,Ironstone Group LTD,Retail & Digital Banking,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance,32,N,0000923,CHECK,R,P,"4,450.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,1839274,Clearstone Capital LLC,Private Wealth,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker,33,N,0000923,CHECK,R,P,"4,400.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,2748293,Sunfield Investments INC,Commercial Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,34,N,0000923,CHECK,R,P,"4,000.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,3920748,Eastgate Holdings LTD,Commercial Real Estate,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,35,N,0000923,CHECK,R,P,"3,600.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,4837294,Whitefield Partners LLC,Commercial Banking,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,36,N,0000923,CHECK,R,P,"3,600.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,5748293,Broadstone Capital INC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,37,N,0000923,CHECK,R,P,"3,275.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,6293748,Harborstone Group LTD,Other,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson,38,N,0000923,CHECK,R,P,"3,275.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,7483926,Ridgewood Enterprises LLC,Commercial Banking,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown,39,N,0000923,CHECK,R,P,"3,000.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,8374293,Stonefield Financial INC,Commercial Real Estate,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter,40,N,0000923,CHECK,R,P,"2,000.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,9283748,Bluefield Holdings LTD,Private Wealth,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,41,N,0000923,CHECK,R,P,"2,000.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,1748293,Greenridge Capital LLC,Commercial Banking,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,42,N,0000923,CHECK,R,P,"2,000.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,2839274,Northfield Ventures INC,Retail & Digital Banking,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster,43,N,0000923,CHECK,R,P,"1,100.00","-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,3748293,Lakefield Advisory LTD,Commercial Real Estate,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia,44,N,0000923,CHECK,R,P,500.00,"-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,4920374,Redridge Partners LLC,Commercial Banking,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris,45,N,0000923,CHECK,R,P,500.00,"-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,5837294,Summit Ridge Group INC,Private Wealth,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin,46,N,0000923,CHECK,R,P,412.00,"-53,217.70","-53,322.70","-53,217.70",022,OD > LIMIT
04/01/2026,6748293,Westfield Holdings LTD,Commercial Real Estate,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,1,N,0000744,PREAUTHORIZED WD,R,P,"2,759.07","-2,758.70","-2,758.70","-2,758.70",021,OD > 0 BAL
04/01/2026,7293748,Maplefield Enterprises LLC,Commercial Banking,W992073,kate.king@cibc.com,ad\kking,Kate King,1,N,0000030,PREAUTHORIZED WD,R,P,"50,000.00","-50,213.25","-50,213.25","-50,213.25",021,OD > 0 BAL
04/01/2026,8374293,Goldridge Financial INC,Other,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,2,N,0000030,PREAUTHORIZED WD,R,P,213.25,"-50,213.25","-50,213.25","-50,213.25",021,OD > 0 BAL
04/01/2026,9283748,Ironfield Group LTD,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,1,N,0000667,MAINTENANCE FEE,PO,PO,2.88,-354.10,-354.10,-354.10,022,OD > LIMIT
04/01/2026,1839274,Clearridge Capital LLC,Commercial Banking,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson,1,N,0000743,CASH MGMT TRSFR DR,PON,PON,800.00,-139.37,-139.37,-139.37,020,OVERDRAWN
04/01/2026,2748293,Sunstone Investments INC,Commercial Real Estate,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,2,N,0000743,PREAUTHORIZED WD,PN,PN,"1,085.00",-139.37,-139.37,-139.37,020,OVERDRAWN
04/01/2026,3920748,Eastfield Holdings LTD,Retail & Digital Banking,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,3,N,0000743,CHECK,PN,PN,914.17,-139.37,-139.37,-139.37,020,OVERDRAWN
04/01/2026,4837294,Whitestone Partners INC,Commercial Banking,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,4,N,0000743,PREAUTHORIZED WD,PN,PN,306.95,-139.37,-139.37,-139.37,020,OVERDRAWN
04/01/2026,5748293,Broadfield Capital LLC,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,5,N,0000743,PREAUTHORIZED WD,PN,PN,159.80,-139.37,-139.37,-139.37,020,OVERDRAWN
04/01/2026,6293748,Harborfield Group LTD,Commercial Real Estate,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts,6,N,0000743,PREAUTHORIZED WD,R,P,150.68,-139.37,-139.37,-139.37,021,OD > 0 BAL
04/01/2026,7483926,Ridgefield Enterprises INC,Commercial Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,1,N,0000035,MAINTENANCE FEE,PO,PO,10.00,-5.00,-5.00,-5.00,021,OD > 0 BAL
04/01/2026,8374293,Stonegate Financial LLC,Other,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor,1,N,0000035,MAINTENANCE FEE,PO,PO,10.00,-10.00,-10.00,-10.00,021,OD > 0 BAL
04/01/2026,9283748,Bluegate Holdings LTD,Private Wealth,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,1,N,0000671,MAINTENANCE FEE,PO,PO,0.01,-185.01,-185.01,-185.01,021,OD > 0 BAL
04/01/2026,1748293,Greengate Capital INC,Commercial Banking,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,1,N,0000300,MAINTENANCE FEE,PO,PO,10.54,-71.86,-71.86,-71.86,022,OD > LIMIT
04/01/2026,2839274,Northgate Ventures LLC,Commercial Real Estate,W992085,wes.white@cibc.com,ad\wwhite2,Wes White,1,N,0000548,MAINTENANCE FEE,PO,PO,10.00,-10.00,-10.00,-10.00,021,OD > 0 BAL
04/01/2026,3748293,Lakegate Advisory LTD,Private Wealth,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,1,N,0000923,MAINTENANCE FEE,PO,PO,10.00,-5.34,-5.34,-5.34,022,OD > LIMIT
04/01/2026,4920374,Redgate Partners INC,Commercial Banking,W992087,yara.young@cibc.com,ad\yyoung,Yara Young,1,N,0000667,MAINTENANCE FEE,PO,PO,0.03,-80.19,-80.19,-80.19,021,OD > 0 BAL
04/01/2026,5837294,Summit Gate Group LLC,Retail & Digital Banking,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,1,N,0000241,FORCE POST DEBIT,PON,PON,"624,863.38","-226,756.95","-226,756.95","-226,756.95",020,OVERDRAWN
04/01/2026,6748293,Westgate Capital LTD,Commercial Real Estate,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen,2,N,0000241,FORCE POST DEBIT,PON,PON,"98,205.33","-226,756.95","-226,756.95","-226,756.95",020,OVERDRAWN
04/01/2026,7293748,Maplegate Enterprises INC,Commercial Banking,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,3,N,0000241,PREAUTHORIZED WD,R,P,"604,751.52","-226,756.95","-226,756.95","-226,756.95",021,OD > 0 BAL
04/01/2026,8374293,Goldgate Financial LLC,Private Wealth,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,4,N,0000241,PREAUTHORIZED WD,PN,P,"31,373.54","-226,756.95","-226,756.95","-226,756.95",020,OVERDRAWN
04/01/2026,9283748,Irongate Group LTD,Commercial Real Estate,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,5,N,0000241,PREAUTHORIZED WD,PN,P,"8,402.57","-226,756.95","-226,756.95","-226,756.95",020,OVERDRAWN
04/01/2026,1839274,Cleargate Capital INC,Other,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis,6,N,0000241,PREAUTHORIZED WD,PN,P,"7,607.00","-226,756.95","-226,756.95","-226,756.95",020,OVERDRAWN
04/01/2026,2748293,Sungate Investments LLC,Commercial Banking,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,7,N,0000241,PREAUTHORIZED WD,PN,P,"6,745.08","-226,756.95","-226,756.95","-226,756.95",020,OVERDRAWN
04/01/2026,3920748,Eastgate Capital LTD,Private Wealth,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster,8,N,0000241,PREAUTHORIZED WD,PN,P,18.48,"-226,756.95","-226,756.95","-226,756.95",020,OVERDRAWN
04/01/2026,4837294,Whitegate Partners INC,Commercial Real Estate,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia,1,N,0000667,MAINTENANCE FEE,PO,PO,10.00,-3.43,-3.43,-3.43,022,OD > LIMIT
04/01/2026,5748293,Broadgate Capital LLC,Commercial Banking,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,1,N,0000721,FORCE POST DEBIT,PO,PO,35.00,"-15,081.16","-11,509.16","-11,509.16",021,OD > 0 BAL
04/01/2026,6293748,Harborgate Group LTD,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,2,N,0000721,FORCE POST DEBIT,PO,PO,35.00,"-15,081.16","-11,509.16","-11,509.16",021,OD > 0 BAL
04/01/2026,7483926,Ridgegate Enterprises INC,Commercial Real Estate,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones,3,N,0000721,FORCE POST DEBIT,PO,PO,35.00,"-15,081.16","-11,509.16","-11,509.16",021,OD > 0 BAL
04/01/2026,8374293,Stonegate Capital LLC,Commercial Banking,W992073,kate.king@cibc.com,ad\kking,Kate King,4,N,0000721,FORCE POST DEBIT,PO,PO,35.00,"-15,081.16","-11,509.16","-11,509.16",021,OD > 0 BAL
04/01/2026,9283748,Bluegate Financial LTD,Retail & Digital Banking,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,5,N,0000721,FORCE POST DEBIT,PO,PO,35.00,"-15,081.16","-11,509.16","-11,509.16",021,OD > 0 BAL
04/01/2026,1748293,Greengate Holdings INC,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,6,N,0000721,PREAUTHORIZED WD,R,P,"1,700.00","-15,081.16","-11,509.16","-11,509.16",021,OD > 0 BAL
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
