AsOfDate,AssignedDate,TriggeringEventDescription,HasExceptionHigh,HasExceptionLow,Account Number,Account Name,LOB,User ID,User Email,User Short Name,User Display Name
5/19/2025 0:00,5/20/2025 10:54,Commitment Amount Increased,1,1,9274831,Lakeside Financial LTD,Private Wealth,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson
5/20/2025 0:00,5/21/2025 8:41,BORROWER Added,1,1,1837264,Northstar Enterprises LLC,Commercial Real Estate,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens
5/22/2025 0:00,5/23/2025 13:10,Commitment Amount Increased,1,1,2948371,Coastal Dynamics INC,Retail & Digital Banking,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton
5/23/2025 0:00,5/24/2025 12:49,New Commitment,1,1,3847291,Summit Ridge Capital LTD,Commercial Banking,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker
5/25/2025 0:00,5/26/2025 9:05,Commitment Renewal Date Changed,,1,4738291,Falcon Asset Management LLC,Private Wealth,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis
5/28/2025 0:00,5/29/2025 16:18,CO-BORROWER Added,1,1,5920183,Grandview Investments INC,Commercial Real Estate,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn
6/1/2025 0:00,6/2/2025 9:00,Commitment Amount Increased,1,1,6847392,Clearwater Holdings LTD,Commercial Banking,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos
6/3/2025 0:00,6/4/2025 10:25,BORROWER Added,1,1,7293847,Ironwood Partners LLC,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner
6/4/2025 0:00,6/5/2025 11:05,Commitment Amount Increased,1,1,8374920,Pacific Crest Capital INC,Commercial Banking,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood
6/7/2025 0:00,6/8/2025 13:30,Commitment Renewal Date Changed,,1,9483726,Westfield Advisory LTD,Private Wealth,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez
6/8/2025 0:00,6/10/2025 14:00,CO-BORROWER Added,1,1,1293847,Bridgepoint Enterprises LLC,Commercial Real Estate,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White
6/10/2025 0:00,6/11/2025 16:45,New Commitment,1,1,2748391,Keystone Financial INC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang
6/12/2025 0:00,6/13/2025 9:15,Commitment Amount Increased,1,,3920847,Riverview Holdings LTD,Retail & Digital Banking,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman
6/14/2025 0:00,6/15/2025 13:40,CO-BORROWER Added,1,1,4837261,Highmark Capital LLC,Private Wealth,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks
6/16/2025 0:00,6/17/2025 15:10,Commitment Renewal Date Changed,,1,5748392,Cornerstone Ventures INC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell
6/18/2025 0:00,6/19/2025 8:30,New Commitment,1,1,6293847,Bluewater Group LTD,Commercial Real Estate,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas
6/20/2025 0:00,6/21/2025 10:50,BORROWER Added,1,1,7483921,Crestwood Partners LLC,Private Wealth,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis
6/21/2025 0:00,6/23/2025 12:25,Commitment Amount Increased,1,1,8374291,Oakridge Investments INC,Commercial Banking,W992042,eric.ford@cibc.com,ad\eford,Eric Ford
6/23/2025 0:00,6/24/2025 14:05,Commitment Renewal Date Changed,1,,9283746,Silverstone Holdings LTD,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green
6/25/2025 0:00,6/26/2025 9:12,CO-BORROWER Added,,1,1748392,Greenfield Capital LLC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton
6/26/2025 0:00,6/27/2025 15:15,New Commitment,1,1,2839471,Northgate Enterprises INC,Commercial Banking,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram
6/28/2025 0:00,6/29/2025 11:20,Commitment Amount Increased,1,1,3748920,Lakeview Advisory LTD,Private Wealth,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins
4/29/2025 0:00,4/30/2025 13:22,BORROWER Added,1,1,4920371,Redstone Partners LLC,Commercial Banking,W992047,janet.king@cibc.com,ad\jking,Janet King
5/4/2025 0:00,5/5/2025 14:10,Commitment Renewal Date Changed,1,1,5837492,Horizon Peak Capital INC,Commercial Real Estate,W992048,keith.lawson@cibc.com,ad\klawson,Keith Lawson
5/7/2025 0:00,5/8/2025 8:55,New Commitment,,1,6748391,Westbrook Holdings LTD,Retail & Digital Banking,W992049,lisa.mitchell@cibc.com,ad\lmitchell,Lisa Mitchell
5/9/2025 0:00,5/10/2025 10:45,CO-BORROWER Added,1,1,7293841,Maple Leaf Ventures LLC,Commercial Banking,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman
5/11/2025 0:00,5/13/2025 11:30,Commitment Amount Increased,1,1,8374926,Goldcrest Financial INC,Private Wealth,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson
5/17/2025 0:00,5/18/2025 16:25,Commitment Renewal Date Changed,1,,9283741,Ironbridge Group LTD,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price
5/21/2025 0:00,5/22/2025 9:05,BORROWER Added,1,1,1839274,Clearfield Capital LLC,Commercial Banking,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn
5/24/2025 0:00,5/25/2025 13:40,New Commitment,,1,2748293,Sunridge Investments INC,Other,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross
5/27/2025 0:00,5/28/2025 15:50,CO-BORROWER Added,1,1,3920748,Eastwood Holdings LTD,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone
5/29/2025 0:00,5/30/2025 10:30,Commitment Amount Increased,1,1,4837294,Whitestone Partners LLC,Commercial Banking,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker
6/2/2025 0:00,6/3/2025 11:10,Commitment Renewal Date Changed,1,1,5748293,Broadview Capital INC,Commercial Real Estate,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood
6/5/2025 0:00,6/6/2025 14:40,New Commitment,1,1,6293748,Harborlight Group LTD,Private Wealth,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance
6/9/2025 0:00,6/10/2025 10:25,BORROWER Added,,1,7483926,Ridgeline Enterprises LLC,Commercial Banking,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker
6/11/2025 0:00,6/12/2025 13:55,CO-BORROWER Added,1,1,8374293,Stonewall Financial INC,Retail & Digital Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier
6/13/2025 0:00,6/14/2025 11:20,Commitment Amount Increased,1,1,9283748,Bluestone Holdings LTD,Commercial Real Estate,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York
6/15/2025 0:00,6/16/2025 12:40,Commitment Renewal Date Changed,1,1,1748293,Greenstone Capital LLC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman
6/17/2025 0:00,6/18/2025 9:35,New Commitment,1,1,2839274,Northbrook Ventures INC,Commercial Banking,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson
6/19/2025 0:00,6/20/2025 14:20,CO-BORROWER Added,,1,3748293,Lakewood Advisory LTD,Commercial Real Estate,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown
6/22/2025 0:00,6/23/2025 10:40,BORROWER Added,1,1,4920374,Redfield Partners LLC,Other,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter
6/24/2025 0:00,6/25/2025 13:10,Commitment Amount Increased,1,1,5837294,Summit Capital Group INC,Commercial Banking,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis
6/27/2025 0:00,6/28/2025 11:55,New Commitment,1,,6748293,Westgate Holdings LTD,Private Wealth,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards
6/29/2025 0:00,6/30/2025 12:30,Commitment Renewal Date Changed,1,1,7293748,Maplewood Enterprises LLC,Commercial Real Estate,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster
5/1/2025 0:00,5/2/2025 8:50,CO-BORROWER Added,,1,8374293,Goldfield Financial INC,Commercial Banking,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia
5/3/2025 0:00,5/4/2025 10:30,Commitment Amount Increased,1,1,9283748,Ironstone Group LTD,Retail & Digital Banking,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris
5/6/2025 0:00,5/7/2025 9:15,BORROWER Added,1,1,1839274,Clearstone Capital LLC,Private Wealth,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin
5/12/2025 0:00,5/13/2025 11:25,Commitment Renewal Date Changed,1,1,2748293,Sunfield Investments INC,Commercial Banking,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones
5/14/2025 0:00,5/15/2025 13:10,New Commitment,1,1,3920748,Eastgate Holdings LTD,Commercial Real Estate,W992073,kate.king@cibc.com,ad\kking,Kate King
5/26/2025 0:00,5/27/2025 16:40,CO-BORROWER Added,,1,4837294,Whitefield Partners LLC,Commercial Banking,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis
6/30/2025 0:00,7/1/2025 9:05,Commitment Amount Increased,1,1,5748293,Broadstone Capital INC,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin
7/1/2025 0:00,7/2/2025 10:50,Commitment Renewal Date Changed,1,1,6293748,Harborstone Group LTD,Other,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson
7/2/2025 0:00,7/3/2025 13:20,New Commitment,1,,7483926,Ridgewood Enterprises LLC,Commercial Banking,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens
7/3/2025 0:00,7/4/2025 15:00,BORROWER Added,1,1,8374293,Stonefield Financial INC,Commercial Real Estate,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker
7/4/2025 0:00,7/5/2025 11:25,CO-BORROWER Added,,1,9283748,Bluefield Holdings LTD,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn
7/5/2025 0:00,7/6/2025 12:10,Commitment Amount Increased,1,1,1748293,Greenridge Capital LLC,Commercial Banking,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts
7/6/2025 0:00,7/7/2025 14:45,Commitment Renewal Date Changed,1,1,2839274,Northfield Ventures INC,Retail & Digital Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith
7/7/2025 0:00,7/8/2025 9:10,New Commitment,1,1,3748293,Lakefield Advisory LTD,Commercial Real Estate,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor
7/8/2025 0:00,7/9/2025 10:20,BORROWER Added,1,1,4920374,Redridge Partners LLC,Commercial Banking,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood
7/9/2025 0:00,7/10/2025 11:15,CO-BORROWER Added,,1,5837294,Summit Ridge Group INC,Private Wealth,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega
7/10/2025 0:00,7/11/2025 13:55,Commitment Amount Increased,1,1,6748293,Westfield Holdings LTD,Commercial Real Estate,W992085,wes.white@cibc.com,ad\wwhite2,Wes White
7/11/2025 0:00,7/12/2025 15:40,Commitment Renewal Date Changed,1,1,7293748,Maplefield Enterprises LLC,Commercial Banking,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu
7/12/2025 0:00,7/13/2025 10:35,New Commitment,1,1,8374293,Goldridge Financial INC,Other,W992087,yara.young@cibc.com,ad\yyoung,Yara Young
7/13/2025 0:00,7/14/2025 11:50,BORROWER Added,1,1,9283748,Ironfield Group LTD,Private Wealth,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang
7/14/2025 0:00,7/15/2025 13:20,CO-BORROWER Added,,1,1839274,Clearridge Capital LLC,Commercial Banking,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen
7/15/2025 0:00,7/16/2025 14:55,Commitment Amount Increased,1,1,2748293,Sunstone Investments INC,Commercial Real Estate,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker
7/16/2025 0:00,7/17/2025 9:35,Commitment Renewal Date Changed,1,1,3920748,Eastfield Holdings LTD,Retail & Digital Banking,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark
7/17/2025 0:00,7/18/2025 10:10,New Commitment,1,1,4837294,Whitestone Partners INC,Commercial Banking,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis
7/18/2025 0:00,7/19/2025 11:30,BORROWER Added,1,1,5748293,Broadfield Capital LLC,Private Wealth,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans
7/19/2025 0:00,7/20/2025 15:15,CO-BORROWER Added,,1,6293748,Harborfield Group LTD,Commercial Real Estate,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster
7/20/2025 0:00,7/21/2025 12:45,Commitment Amount Increased,1,1,7483926,Ridgefield Enterprises INC,Commercial Banking,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia
7/21/2025 0:00,7/22/2025 13:55,Commitment Renewal Date Changed,1,,8374293,Stonegate Financial LLC,Other,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris
7/22/2025 0:00,7/23/2025 15:30,New Commitment,1,1,9283748,Bluegate Holdings LTD,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin
7/23/2025 0:00,7/24/2025 9:30,BORROWER Added,1,1,1748293,Greengate Capital INC,Commercial Banking,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones
7/24/2025 0:00,7/25/2025 10:20,CO-BORROWER Added,,1,2839274,Northgate Ventures LLC,Commercial Real Estate,W992099,kim.king@cibc.com,ad\kking2,Kim King
7/25/2025 0:00,7/26/2025 11:45,Commitment Amount Increased,1,,3748293,Lakegate Advisory LTD,Private Wealth,W992100,luke.lewis@cibc.com,ad\llewis2,Luke Lewis
7/26/2025 0:00,7/27/2025 14:35,Commitment Renewal Date Changed,1,1,4920374,Redgate Partners INC,Commercial Banking,W992101,maya.martin@cibc.com,ad\mmartin2,Maya Martin
7/27/2025 0:00,7/28/2025 9:15,New Commitment,1,1,5837294,Summit Gate Group LLC,Retail & Digital Banking,W992102,nick.nelson@cibc.com,ad\nnelson2,Nick Nelson
7/28/2025 0:00,7/29/2025 10:10,BORROWER Added,1,,6748293,Westgate Capital LTD,Commercial Real Estate,W992103,olive.owens@cibc.com,ad\oowens2,Olive Owens
7/29/2025 0:00,7/30/2025 12:25,CO-BORROWER Added,,1,7293748,Maplegate Enterprises INC,Commercial Banking,W992104,paul.parker@cibc.com,ad\pparker2,Paul Parker
7/30/2025 0:00,7/31/2025 14:00,Commitment Amount Increased,1,1,8374293,Goldgate Financial LLC,Private Wealth,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr
7/31/2025 0:00,8/1/2025 15:10,Commitment Renewal Date Changed,1,1,9283748,Irongate Group LTD,Commercial Real Estate,W992106,rick.roberts@cibc.com,ad\rroberts2,Rick Roberts
8/1/2025 0:00,8/2/2025 13:30,New Commitment,1,1,1839274,Cleargate Capital INC,Other,W992107,sara.smith@cibc.com,ad\ssmith2,Sara Smith
8/2/2025 0:00,8/3/2025 11:05,BORROWER Added,1,1,2748293,Sungate Investments LLC,Commercial Banking,W992108,ted.taylor@cibc.com,ad\ttaylor2,Ted Taylor
8/3/2025 0:00,8/4/2025 12:50,CO-BORROWER Added,,1,3920748,Eastgate Capital LTD,Private Wealth,W992109,una.underwood@cibc.com,ad\uunderwood3,Una Underwood
8/4/2025 0:00,8/5/2025 9:35,Commitment Amount Increased,1,1,4837294,Whitegate Partners INC,Commercial Real Estate,W992110,vince.vega@cibc.com,ad\vvega2,Vince Vega
8/5/2025 0:00,8/6/2025 14:45,Commitment Renewal Date Changed,1,1,5748293,Broadgate Capital LLC,Commercial Banking,W992111,walt.white@cibc.com,ad\wwhite3,Walt White
8/6/2025 0:00,8/7/2025 10:10,New Commitment,1,,6293748,Harborgate Group LTD,Private Wealth,W992112,xena.xu@cibc.com,ad\xxu2,Xena Xu
8/7/2025 0:00,8/8/2025 11:20,BORROWER Added,1,1,7483926,Ridgegate Enterprises INC,Commercial Real Estate,W992113,yuri.young@cibc.com,ad\yyoung2,Yuri Young
8/8/2025 0:00,8/9/2025 13:55,CO-BORROWER Added,,1,8374293,Stonegate Capital LLC,Commercial Banking,W992114,zara.zhang@cibc.com,ad\zzhang2,Zara Zhang
8/9/2025 0:00,8/10/2025 15:40,Commitment Amount Increased,1,1,9283748,Bluegate Financial LTD,Retail & Digital Banking,W992115,adam.allen@cibc.com,ad\aallen2,Adam Allen
8/10/2025 0:00,8/11/2025 10:35,Commitment Renewal Date Changed,1,,1748293,Greengate Holdings INC,Private Wealth,W992116,bella.baker@cibc.com,ad\bbaker2,Bella Baker
8/11/2025 0:00,8/12/2025 11:50,New Commitment,1,1,1152837,Crestfall Advisors LLC,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash
8/12/2025 0:00,8/13/2025 13:20,BORROWER Added,1,1,2253948,Pinnacle Ridge INC,Private Wealth,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega
8/13/2025 0:00,8/14/2025 14:55,CO-BORROWER Added,,1,3354819,Ironclad Capital LTD,Commercial Real Estate,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards
8/14/2025 0:00,8/15/2025 9:35,Commitment Amount Increased,1,,4455920,Vantage Wealth LLC,Retail & Digital Banking,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton
8/15/2025 0:00,8/16/2025 10:10,Commitment Renewal Date Changed,1,1,5556831,Apex Ridge Partners INC,Commercial Banking,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams
8/16/2025 0:00,8/17/2025 11:30,New Commitment,1,1,6657942,BlueSky Holdings LTD,Private Wealth,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis
8/17/2025 0:00,8/18/2025 15:15,BORROWER Added,1,1,7758053,Northcrest Ventures LLC,Commercial Real Estate,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White
8/18/2025 0:00,8/19/2025 12:45,CO-BORROWER Added,,1,8859164,Silvergate Financial INC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell
8/19/2025 0:00,8/20/2025 13:55,Commitment Amount Increased,1,1,9960275,Redfield Advisory LTD,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green
8/20/2025 0:00,8/21/2025 15:30,Commitment Renewal Date Changed,1,1,1061386,Lakecrest Capital LLC,Private Wealth,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson
8/21/2025 0:00,8/22/2025 9:30,New Commitment,1,1,2162497,Weststone Holdings INC,Commercial Banking,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker
8/22/2025 0:00,8/23/2025 10:20,BORROWER Added,1,1,3263508,Eastbrook Ventures LTD,Commercial Real Estate,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas
8/23/2025 0:00,8/24/2025 11:45,CO-BORROWER Added,,1,4364619,Goldstone Partners LLC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman
8/24/2025 0:00,8/25/2025 14:35,Commitment Amount Increased,1,1,5465720,Ironridge Capital INC,Commercial Banking,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis
8/25/2025 0:00,8/26/2025 9:15,Commitment Renewal Date Changed,1,,6566831,Clearbrook Holdings LTD,Commercial Real Estate,W992073,kate.king@cibc.com,ad\kking,Kate King
8/26/2025 0:00,8/27/2025 10:10,New Commitment,1,1,7667942,Sunstone Ventures LLC,Retail & Digital Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith
8/27/2025 0:00,8/28/2025 12:25,BORROWER Added,1,1,8768053,Ridgecrest Financial INC,Commercial Banking,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu
8/28/2025 0:00,8/29/2025 14:00,CO-BORROWER Added,,1,9869164,Maplecrest Advisory LTD,Private Wealth,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega
8/29/2025 0:00,8/30/2025 15:10,Commitment Amount Increased,1,1,1970275,Northstone Enterprises LLC,Commercial Real Estate,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker
8/30/2025 0:00,8/31/2025 13:30,Commitment Renewal Date Changed,1,1,2071386,Westridge Capital INC,Other,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris
8/31/2025 0:00,9/1/2025 11:05,New Commitment,1,1,3172497,Eaststone Holdings LTD,Commercial Banking,W992101,maya.martin@cibc.com,ad\mmartin2,Maya Martin
9/1/2025 0:00,9/2/2025 12:50,BORROWER Added,1,1,4273508,Goldbrook Ventures LLC,Private Wealth,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr
9/2/2025 0:00,9/3/2025 9:35,CO-BORROWER Added,,1,5374619,Ironbrook Capital INC,Commercial Real Estate,W992110,vince.vega@cibc.com,ad\vvega2,Vince Vega
9/3/2025 0:00,9/4/2025 14:45,Commitment Amount Increased,1,,6475720,Clearstone Ventures LTD,Commercial Banking,W992114,zara.zhang@cibc.com,ad\zzhang2,Zara Zhang
9/4/2025 0:00,9/5/2025 10:10,Commitment Renewal Date Changed,1,1,7576831,Sunbrook Holdings LLC,Private Wealth,W992116,bella.baker@cibc.com,ad\bbaker2,Bella Baker
9/5/2025 0:00,9/6/2025 11:20,New Commitment,1,1,8677942,Ridgestone Financial INC,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel
9/6/2025 0:00,9/7/2025 13:55,BORROWER Added,1,,9778053,Maplestone Advisory LTD,Commercial Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor
9/7/2025 0:00,9/8/2025 15:40,CO-BORROWER Added,,1,1879164,Northbrook Capital LLC,Retail & Digital Banking,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia
9/8/2025 0:00,9/9/2025 10:35,Commitment Amount Increased,1,1,2980275,Westbrook Ventures INC,Private Wealth,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang
9/9/2025 0:00,9/10/2025 11:50,Commitment Renewal Date Changed,1,1,3081386,Eastbrook Capital LTD,Commercial Banking,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly
9/10/2025 0:00,9/11/2025 13:20,New Commitment,1,1,4182497,Goldenbrook Holdings LLC,Commercial Real Estate,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving
9/11/2025 0:00,9/12/2025 14:55,BORROWER Added,1,1,5283508,Ironbrook Holdings INC,Private Wealth,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker
9/12/2025 0:00,9/13/2025 9:35,CO-BORROWER Added,,1,6384619,Clearbrook Capital LTD,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner
9/13/2025 0:00,9/14/2025 10:10,Commitment Amount Increased,1,1,7485720,Sunbrook Ventures LLC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang
9/14/2025 0:00,9/15/2025 11:30,Commitment Renewal Date Changed,1,1,8586831,Ridgebrook Financial INC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton
9/15/2025 0:00,9/16/2025 15:15,New Commitment,1,1,9687942,Maplebrook Advisory LTD,Private Wealth,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins
9/16/2025 0:00,9/17/2025 12:45,BORROWER Added,1,1,1788053,Northbrook Holdings LLC,Commercial Banking,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman
9/17/2025 0:00,9/18/2025 13:55,CO-BORROWER Added,,,2889164,Westbrook Financial INC,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price
9/18/2025 0:00,9/19/2025 15:30,Commitment Amount Increased,1,1,3990275,Eastbrook Advisory LTD,Retail & Digital Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier
9/19/2025 0:00,9/20/2025 9:30,Commitment Renewal Date Changed,1,1,4091386,Goldbrook Capital LLC,Private Wealth,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards
9/20/2025 0:00,9/21/2025 10:20,New Commitment,1,,5192497,Ironbrook Advisory INC,Commercial Banking,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones
