Acct Number,Acct Account Short Name,Line Of Business,Acct Post No Txn Ind,Maint Txn Process Date,Maint Txn Transaction Code,Maint Txn Keyword Description,Maint Txn Maintenance Trans Keyword,Maint Txn Maintenance User ID,Maint Txn Maintenance Email,Maint Txn Maintenance Name Short,Maint Txn Maintenance Display Name
1839274,Clearfield Capital LLC,Commercial Banking,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992042,eric.ford@cibc.com,ad\eford,Eric Ford
2748293,Sunridge Investments INC,Other,Y,4/9/2026,380,POST INDICATOR,POSTSW,W992043,frances.green@cibc.com,ad\fgreen,Frances Green
3920748,Eastwood Holdings LTD,Private Wealth,Y,4/21/2026,380,POST INDICATOR,POSTSW,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton
4837294,Whitestone Partners LLC,Commercial Banking,Y,4/7/2026,380,POST INDICATOR,POSTSW,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram
5748293,Broadview Capital INC,Commercial Real Estate,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins
6293748,Harborlight Group LTD,Private Wealth,Y,4/17/2026,380,POST INDICATOR,POSTSW,W992047,janet.king@cibc.com,ad\jking,Janet King
7483926,Ridgeline Enterprises LLC,Commercial Banking,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992047,janet.king@cibc.com,ad\jking,Janet King
8374293,Stonewall Financial INC,Retail & Digital Banking,Y,4/8/2026,380,POST INDICATOR,POSTSW,W992048,keith.lawson@cibc.com,ad\klawson,Keith Lawson
9283748,Bluestone Holdings LTD,Commercial Real Estate,Y,4/6/2026,380,POST INDICATOR,POSTSW,W992049,lisa.mitchell@cibc.com,ad\lmitchell,Lisa Mitchell
1748293,Greenstone Capital LLC,Private Wealth,Y,4/7/2026,380,POST INDICATOR,POSTSW,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman
2839274,Northbrook Ventures INC,Commercial Banking,Y,4/14/2026,380,POST INDICATOR,POSTSW,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson
3748293,Lakewood Advisory LTD,Commercial Real Estate,Y,4/30/2026,380,POST INDICATOR,POSTSW,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price
4920374,Redfield Partners LLC,Other,Y,4/20/2026,380,POST INDICATOR,POSTSW,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn
5837294,Summit Capital Group INC,Commercial Banking,Y,4/13/2026,380,POST INDICATOR,POSTSW,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross
6748293,Westgate Holdings LTD,Private Wealth,Y,4/21/2026,380,POST INDICATOR,POSTSW,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone
7293748,Maplewood Enterprises LLC,Commercial Real Estate,Y,4/6/2026,380,POST INDICATOR,POSTSW,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker
8374293,Goldfield Financial INC,Commercial Banking,Y,4/22/2026,380,POST INDICATOR,POSTSW,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood
9283748,Ironstone Group LTD,Retail & Digital Banking,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance
1839274,Clearstone Capital LLC,Private Wealth,Y,4/17/2026,380,POST INDICATOR,POSTSW,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker
2748293,Sunfield Investments INC,Commercial Banking,Y,4/14/2026,380,POST INDICATOR,POSTSW,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier
3920748,Eastgate Holdings LTD,Commercial Real Estate,Y,4/27/2026,380,POST INDICATOR,POSTSW,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York
4837294,Whitefield Partners LLC,Commercial Banking,Y,4/21/2026,380,POST INDICATOR,POSTSW,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York
5748293,Broadstone Capital INC,Private Wealth,Y,4/17/2026,380,POST INDICATOR,POSTSW,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman
6293748,Harborstone Group LTD,Other,Y,4/30/2026,380,POST INDICATOR,POSTSW,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson
7483926,Ridgewood Enterprises LLC,Commercial Banking,Y,4/27/2026,380,POST INDICATOR,POSTSW,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown
8374293,Stonefield Financial INC,Commercial Real Estate,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter
9283748,Bluefield Holdings LTD,Private Wealth,Y,4/22/2026,380,POST INDICATOR,POSTSW,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis
1748293,Greenridge Capital LLC,Commercial Banking,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards
2839274,Northfield Ventures INC,Retail & Digital Banking,Y,4/17/2026,380,POST INDICATOR,POSTSW,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster
3748293,Lakefield Advisory LTD,Commercial Real Estate,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia
4920374,Redridge Partners LLC,Commercial Banking,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris
5837294,Summit Ridge Group INC,Private Wealth,Y,4/22/2026,380,POST INDICATOR,POSTSW,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin
6748293,Westfield Holdings LTD,Commercial Real Estate,Y,4/9/2026,380,POST INDICATOR,POSTSW,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones
7293748,Maplefield Enterprises LLC,Commercial Banking,Y,4/30/2026,380,POST INDICATOR,POSTSW,W992073,kate.king@cibc.com,ad\kking,Kate King
8374293,Goldridge Financial INC,Other,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis
9283748,Ironfield Group LTD,Private Wealth,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin
1839274,Clearridge Capital LLC,Commercial Banking,Y,4/8/2026,380,POST INDICATOR,POSTSW,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson
2748293,Sunstone Investments INC,Commercial Real Estate,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens
3920748,Eastfield Holdings LTD,Retail & Digital Banking,Y,4/30/2026,380,POST INDICATOR,POSTSW,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens
4837294,Whitestone Partners INC,Commercial Banking,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker
5748293,Broadfield Capital LLC,Private Wealth,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn
6293748,Harborfield Group LTD,Commercial Real Estate,Y,4/21/2026,380,POST INDICATOR,POSTSW,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts
7483926,Ridgefield Enterprises INC,Commercial Banking,Y,4/13/2026,380,POST INDICATOR,POSTSW,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith
8374293,Stonegate Financial LLC,Other,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor
9283748,Bluegate Holdings LTD,Private Wealth,Y,4/24/2026,380,POST INDICATOR,POSTSW,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood
1748293,Greengate Capital INC,Commercial Banking,Y,4/6/2026,380,POST INDICATOR,POSTSW,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega
2839274,Northgate Ventures LLC,Commercial Real Estate,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992085,wes.white@cibc.com,ad\wwhite2,Wes White
3748293,Lakegate Advisory LTD,Private Wealth,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu
4920374,Redgate Partners INC,Commercial Banking,Y,4/23/2026,380,POST INDICATOR,POSTSW,W992087,yara.young@cibc.com,ad\yyoung,Yara Young
5837294,Summit Gate Group LLC,Retail & Digital Banking,Y,4/21/2026,380,POST INDICATOR,POSTSW,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang
6748293,Westgate Capital LTD,Commercial Real Estate,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen
7293748,Maplegate Enterprises INC,Commercial Banking,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker
8374293,Goldgate Financial LLC,Private Wealth,Y,4/17/2026,380,POST INDICATOR,POSTSW,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark
9283748,Irongate Group LTD,Commercial Real Estate,Y,4/8/2026,380,POST INDICATOR,POSTSW,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark
1839274,Cleargate Capital INC,Other,Y,4/13/2026,380,POST INDICATOR,POSTSW,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis
2748293,Sungate Investments LLC,Commercial Banking,Y,4/6/2026,380,POST INDICATOR,POSTSW,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans
3920748,Eastgate Capital LTD,Private Wealth,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster
4837294,Whitegate Partners INC,Commercial Real Estate,Y,4/14/2026,380,POST INDICATOR,POSTSW,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia
5748293,Broadgate Capital LLC,Commercial Banking,Y,4/14/2026,380,POST INDICATOR,POSTSW,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris
6293748,Harborgate Group LTD,Private Wealth,Y,4/21/2026,380,POST INDICATOR,POSTSW,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin
7483926,Ridgegate Enterprises INC,Commercial Real Estate,Y,4/21/2026,380,POST INDICATOR,POSTSW,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones
8374293,Stonegate Capital LLC,Commercial Banking,Y,4/22/2026,380,POST INDICATOR,POSTSW,W992073,kate.king@cibc.com,ad\kking,Kate King
9283748,Bluegate Financial LTD,Retail & Digital Banking,Y,4/23/2026,380,POST INDICATOR,POSTSW,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis
1748293,Greengate Holdings INC,Private Wealth,Y,4/24/2026,380,POST INDICATOR,POSTSW,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin
