Serv Req Acty Create Date Time,Serv Req Acty Completion Dte,Serv Req Acty ID,Serv Req Acty Type,Serv Req Acty Category,Serv Req Acty Status,Serv Req Acty Create User ID,Serv Req Acty Create User Email,Serv Req Acty Create Name Short,Serv Req Acty Create Display Name,Serv Req Acty Workflow Description,Serv Req Acty Workflow Code
03/31/2026 10:40:31,04/01/2026,10000000243541514,CLA,O,C,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,Close Account,SRCLA
03/31/2026 13:29:39,04/06/2026,10000000243573239,GEN,E,C,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,Generic Service Request,SRGEN
03/31/2026 13:36:22,04/07/2026,10000000243574913,CAT,P,C,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn,Change Account Titling,SRCAT
03/31/2026 13:45:06,04/06/2026,10000000243575769,GEN,E,C,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross,Generic Service Request,SRGEN
03/31/2026 14:49:26,04/08/2026,10000000243589012,GEN,O,C,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone,Generic Service Request,SRGEN
03/31/2026 15:18:30,04/08/2026,10000000243592553,GEN,O,C,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,Generic Service Request,SRGEN
03/31/2026 15:25:52,04/01/2026,10000000243594138,GEN,V,C,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood,Generic Service Request,SRGEN
03/31/2026 15:40:20,04/08/2026,10000000243596100,GEN,O,C,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance,Generic Service Request,SRGEN
03/31/2026 15:48:06,04/08/2026,10000000243596904,GEN,O,C,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker,Generic Service Request,SRGEN
03/31/2026 15:56:47,04/07/2026,10000000243597455,GEN,O,C,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,Generic Service Request,SRGEN
03/31/2026 16:13:59,04/02/2026,10000000243599371,GEN,O,C,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,Generic Service Request,SRGEN
03/31/2026 16:33:59,04/01/2026,10000000243601410,GEN,O,C,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,Generic Service Request,SRGEN
03/31/2026 16:39:47,04/02/2026,10000000243601669,CAT,P,C,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,Change Account Titling,SRCAT
03/31/2026 16:55:46,04/01/2026,10000000243602460,GEN,O,C,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson,Generic Service Request,SRGEN
03/31/2026 17:00:41,04/07/2026,10000000243602636,GEN,O,C,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown,Generic Service Request,SRGEN
03/31/2026 17:47:04,04/01/2026,10000000243605807,CDA,O,C,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter,Change Deposit Account Detail,SRCDA
04/01/2026 07:02:41,04/01/2026,10000000243608672,GEN,O,C,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,Generic Service Request,SRGEN
04/01/2026 07:59:46,04/01/2026,10000000243610748,GEN,E,C,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,Generic Service Request,SRGEN
04/01/2026 08:01:56,04/01/2026,10000000243611831,GEN,O,C,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster,Generic Service Request,SRGEN
04/01/2026 08:03:36,04/01/2026,10000000243611931,GEN,O,C,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia,Generic Service Request,SRGEN
04/01/2026 08:05:21,04/01/2026,10000000243612021,GEN,O,C,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris,Generic Service Request,SRGEN
04/01/2026 08:05:52,04/01/2026,10000000243612838,GEN,O,C,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin,Generic Service Request,SRGEN
04/01/2026 08:06:36,04/01/2026,10000000243612074,GEN,E,C,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,Generic Service Request,SRGEN
04/01/2026 08:12:20,04/01/2026,10000000243612343,GEN,E,C,W992073,kate.king@cibc.com,ad\kking,Kate King,Generic Service Request,SRGEN
04/01/2026 08:14:33,04/01/2026,10000000243612472,RCD,P,C,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,Renew CD,SRRCD
04/01/2026 08:15:32,04/01/2026,10000000243612524,CDC,P,C,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,Change Debit Card Detail,SRCDC
04/01/2026 08:15:57,04/01/2026,10000000243613736,PMF,,C,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson,Print Miscellaneous Forms,SRPMF
04/01/2026 08:16:35,04/01/2026,10000000243612579,GEN,O,C,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,Generic Service Request,SRGEN
04/01/2026 08:17:53,04/01/2026,10000000243613896,GEN,O,C,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,Generic Service Request,SRGEN
04/01/2026 08:19:45,04/03/2026,10000000243612766,GEN,O,C,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,Generic Service Request,SRGEN
04/01/2026 08:21:03,04/01/2026,10000000243614831,PFT,,C,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,Process Financial Transaction,SRPFT
04/01/2026 08:21:50,04/01/2026,10000000243614883,CLA,P,C,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts,Close Account,SRCLA
04/01/2026 08:24:45,04/01/2026,10000000243615067,GEN,O,C,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,Generic Service Request,SRGEN
04/01/2026 08:25:55,04/01/2026,10000000243614534,CCD,O,C,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor,Change Customer Detail,SRCDT
04/01/2026 08:26:19,04/01/2026,10000000243615186,CLA,P,C,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,Close Account,SRCLA
04/01/2026 08:27:40,04/01/2026,10000000243614694,CLA,O,C,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,Close Account,SRCLA
04/01/2026 08:28:27,04/01/2026,10000000243614761,GEN,O,C,W992085,wes.white@cibc.com,ad\wwhite2,Wes White,Generic Service Request,SRGEN
04/01/2026 08:28:42,04/01/2026,10000000243614777,CLA,O,C,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,Close Account,SRCLA
04/01/2026 08:30:03,04/01/2026,10000000243615415,CLA,O,C,W992087,yara.young@cibc.com,ad\yyoung,Yara Young,Close Account,SRCLA
04/01/2026 08:30:27,04/01/2026,10000000243615430,GEN,O,C,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,Generic Service Request,SRGEN
04/01/2026 08:31:03,04/01/2026,10000000243615473,CLA,O,C,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen,Close Account,SRCLA
04/01/2026 08:31:44,04/01/2026,10000000243615515,GEN,O,C,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,Generic Service Request,SRGEN
04/01/2026 08:32:18,04/01/2026,10000000243615545,CLA,O,C,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,Close Account,SRCLA
04/01/2026 08:32:22,04/01/2026,10000000243615549,PMF,,C,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,Print Miscellaneous Forms,SRPMF
04/01/2026 08:33:07,04/01/2026,10000000243616163,CLA,O,C,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis,Close Account,SRCLA
04/01/2026 08:33:23,04/01/2026,10000000243615616,CAT,O,C,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,Change Account Titling,SRCAT
04/01/2026 08:35:24,04/01/2026,10000000243615757,CNA,T,C,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster,Change Name and Address,SRCNA
04/01/2026 08:35:35,04/01/2026,10000000243616371,GEN,O,C,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia,Generic Service Request,SRGEN
04/01/2026 08:35:54,04/01/2026,10000000243616398,GEN,O,C,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,Generic Service Request,SRGEN
04/01/2026 08:35:58,04/01/2026,10000000243616404,CDC,P,C,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,Change Debit Card Detail,SRCDC
04/01/2026 08:36:22,04/01/2026,10000000243616439,CLA,E,C,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones,Close Account,SRCLA
04/01/2026 08:37:01,04/01/2026,10000000243616872,WFD,P,C,W992099,kim.king@cibc.com,ad\kking2,Kim King,Withdraw Funds,SRWFD
04/01/2026 08:37:02,04/01/2026,10000000243616491,CAT,E,C,W992100,luke.lewis@cibc.com,ad\llewis2,Luke Lewis,Change Account Titling,SRCAT
04/01/2026 08:38:03,04/01/2026,10000000243616924,CDA,O,C,W992101,maya.martin@cibc.com,ad\mmartin2,Maya Martin,Change Deposit Account Detail,SRCDA
04/01/2026 08:38:38,04/01/2026,10000000243616972,CNA,T,C,W992102,nick.nelson@cibc.com,ad\nnelson2,Nick Nelson,Change Name and Address,SRCNA
04/01/2026 08:38:38,04/01/2026,10000000243616973,CDC,O,C,W992103,olive.owens@cibc.com,ad\oowens2,Olive Owens,Change Debit Card Detail,SRCDC
04/01/2026 08:38:51,04/01/2026,10000000243616665,CNA,T,C,W992104,paul.parker@cibc.com,ad\pparker2,Paul Parker,Change Name and Address,SRCNA
04/01/2026 08:39:09,04/01/2026,10000000243617003,CNA,T,C,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr,Change Name and Address,SRCNA
04/01/2026 08:39:26,04/01/2026,10000000243617018,CDC,P,C,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr,Change Debit Card Detail,SRCDC
04/01/2026 08:40:31,04/01/2026,10000000243617820,CDC,P,C,W992106,rick.roberts@cibc.com,ad\rroberts2,Rick Roberts,Change Debit Card Detail,SRCDC
04/01/2026 08:40:39,04/01/2026,10000000243617108,CDC,O,C,W992107,sara.smith@cibc.com,ad\ssmith2,Sara Smith,Change Debit Card Detail,SRCDC
04/01/2026 08:41:34,04/01/2026,10000000243617912,CLA,I,C,W992108,ted.taylor@cibc.com,ad\ttaylor2,Ted Taylor,Close Account,SRCLA
04/01/2026 08:42:14,04/01/2026,10000000243617199,CLA,I,C,W992109,una.underwood@cibc.com,ad\uunderwood3,Una Underwood,Close Account,SRCLA
04/01/2026 08:42:49,04/01/2026,10000000243617228,CLA,I,C,W992110,vince.vega@cibc.com,ad\vvega2,Vince Vega,Close Account,SRCLA
04/01/2026 08:44:29,04/01/2026,10000000243618192,CLA,E,C,W992111,walt.white@cibc.com,ad\wwhite3,Walt White,Close Account,SRCLA
04/01/2026 08:45:11,04/01/2026,10000000243617341,CDC,P,C,W992112,xena.xu@cibc.com,ad\xxu2,Xena Xu,Change Debit Card Detail,SRCDC
04/01/2026 08:46:54,04/01/2026,10000000243618420,GEN,O,C,W992113,yuri.young@cibc.com,ad\yyoung2,Yuri Young,Generic Service Request,SRGEN
04/01/2026 08:47:07,04/01/2026,10000000243618454,GEN,O,C,W992114,zara.zhang@cibc.com,ad\zzhang2,Zara Zhang,Generic Service Request,SRGEN
04/01/2026 08:47:16,04/01/2026,10000000243617457,RCD,I,C,W992115,adam.allen@cibc.com,ad\aallen2,Adam Allen,Renew CD,SRRCD
04/01/2026 08:47:23,04/01/2026,10000000243618486,WFD,P,C,W992116,bella.baker@cibc.com,ad\bbaker2,Bella Baker,Withdraw Funds,SRWFD
04/01/2026 08:48:37,04/01/2026,10000000243618608,CCD,O,C,W992117,carl.clark@cibc.com,ad\cclark2,Carl Clark,Change Customer Detail,SRCDT
04/01/2026 08:48:42,04/01/2026,10000000243617535,GEN,O,C,W992118,dana.davis@cibc.com,ad\ddavis3,Dana Davis,Generic Service Request,SRGEN
04/01/2026 08:49:23,04/01/2026,10000000243617577,CNA,T,C,W992119,evan.evans@cibc.com,ad\eevans2,Evan Evans,Change Name and Address,SRCNA
04/01/2026 08:49:30,04/01/2026,10000000243617581,GEN,O,C,W992119,evan.evans@cibc.com,ad\eevans2,Evan Evans,Generic Service Request,SRGEN
04/01/2026 08:49:34,04/01/2026,10000000243617584,WFD,E,C,W992120,faye.foster@cibc.com,ad\ffoster3,Faye Foster,Withdraw Funds,SRWFD
04/01/2026 08:50:37,04/01/2026,10000000243617632,GEN,O,C,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,Generic Service Request,SRGEN
04/01/2026 08:51:24,04/01/2026,10000000243618883,GEN,O,C,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin,Generic Service Request,SRGEN
04/01/2026 08:52:45,04/01/2026,10000000243617779,GEN,O,C,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson,Generic Service Request,SRGEN
04/01/2026 08:53:11,04/01/2026,10000000243619805,GEN,O,C,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens,Generic Service Request,SRGEN
04/01/2026 08:54:00,04/01/2026,10000000243619853,GEN,P,C,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker,Generic Service Request,SRGEN
04/01/2026 08:54:28,04/01/2026,10000000243619879,GEN,O,C,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn,Generic Service Request,SRGEN
04/01/2026 08:55:05,04/01/2026,10000000243619914,PFT,,C,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos,Process Financial Transaction,SRPFT
04/01/2026 08:55:06,04/01/2026,10000000243619917,GEN,O,C,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,Generic Service Request,SRGEN
04/01/2026 08:56:05,04/01/2026,10000000243619978,GEN,O,C,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,Generic Service Request,SRGEN
04/01/2026 08:56:29,04/01/2026,10000000243620001,GEN,O,C,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez,Generic Service Request,SRGEN
04/01/2026 08:56:54,04/01/2026,10000000243619514,GEN,O,C,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,Generic Service Request,SRGEN
04/01/2026 08:57:56,04/01/2026,10000000243620102,CDC,P,C,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,Change Debit Card Detail,SRCDC
04/01/2026 08:58:22,04/01/2026,10000000243620136,GEN,O,C,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman,Generic Service Request,SRGEN
04/01/2026 08:58:37,04/01/2026,10000000243620146,GEN,O,C,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks,Generic Service Request,SRGEN
04/01/2026 08:59:02,04/01/2026,10000000243619699,CDC,O,C,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,Change Debit Card Detail,SRCDC
04/01/2026 08:59:25,04/01/2026,10000000243619742,CNA,T,C,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,Change Name and Address,SRCNA
04/01/2026 09:00:21,04/01/2026,10000000243620257,PFT,O,C,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis,Process Financial Transaction,SRPFT
04/01/2026 09:00:43,04/01/2026,10000000243620896,GEN,O,C,W992042,eric.ford@cibc.com,ad\eford,Eric Ford,Generic Service Request,SRGEN
04/01/2026 09:01:03,04/01/2026,10000000243620283,GEN,O,C,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,Generic Service Request,SRGEN
04/01/2026 09:02:18,04/01/2026,10000000243620348,GEN,O,C,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,Generic Service Request,SRGEN
04/01/2026 09:02:28,04/01/2026,10000000243620353,CDC,P,C,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram,Change Debit Card Detail,SRCDC
04/01/2026 09:03:18,04/01/2026,10000000243621243,CLA,E,C,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,Close Account,SRCLA
04/01/2026 09:03:20,04/01/2026,10000000243620400,CDC,P,C,W992047,janet.king@cibc.com,ad\jking,Janet King,Change Debit Card Detail,SRCDC
04/01/2026 09:03:43,04/01/2026,10000000243620424,GEN,O,C,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,Generic Service Request,SRGEN
04/01/2026 09:03:51,04/01/2026,10000000243620433,PFT,O,C,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,Process Financial Transaction,SRPFT
04/01/2026 09:04:40,04/01/2026,10000000243620490,RCD,P,C,W992002,nancy.ortiz@cibc.com,ad\nortiz,Nancy Ortiz,Renew CD,SRRCD
04/01/2026 09:06:22,04/01/2026,10000000243620598,CLA,E,C,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,Close Account,SRCLA
04/01/2026 09:07:15,04/01/2026,10000000243621661,GEN,O,C,W992004,patricia.quinn@cibc.com,ad\pquinn,Patricia Quinn,Generic Service Request,SRGEN
04/01/2026 09:07:24,04/01/2026,10000000243621681,CDA,O,C,W992005,quincy.ross@cibc.com,ad\qross,Quincy Ross,Change Deposit Account Detail,SRCDA
04/01/2026 09:07:42,04/01/2026,10000000243621718,CLA,E,C,W992006,rachel.smith@cibc.com,ad\rsmith,Rachel Smith,Close Account,SRCLA
04/01/2026 09:08:00,04/01/2026,10000000243620725,WFD,I,C,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,Withdraw Funds,SRWFD
04/01/2026 09:08:32,04/01/2026,10000000243620758,WFD,I,C,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,Withdraw Funds,SRWFD
04/01/2026 09:08:33,04/01/2026,10000000243621812,GEN,O,C,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,Generic Service Request,SRGEN
04/01/2026 09:08:39,04/01/2026,10000000243620774,WFD,P,C,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang,Withdraw Funds,SRWFD
04/01/2026 09:09:04,04/01/2026,10000000243622811,CLA,I,C,W992011,william.xu@cibc.com,ad\wxu,William Xu,Close Account,SRCLA
04/01/2026 09:09:08,04/01/2026,10000000243622816,CLA,E,C,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster,Close Account,SRCLA
04/01/2026 09:10:03,04/01/2026,10000000243622892,GEN,E,C,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia,Generic Service Request,SRGEN
04/01/2026 09:10:37,04/01/2026,10000000243622070,PFT,,C,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,Process Financial Transaction,SRPFT
