CoreDataKey,RequestedDate,Account Number,Account Name,LOB,User ID,User Email,User Short Name,User Display Name,RequestType,WorkflowStepStatus,CurrentWorkflowKey
135688,4/25/2025 9:16,9483726,Westfield Advisory LTD,Private Wealth,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez,Payment,Completed,8
135689,4/26/2025 9:16,1293847,Bridgepoint Enterprises LLC,Commercial Real Estate,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,Payment,Completed,8
135690,4/27/2025 9:16,2748391,Keystone Financial INC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,Payment,Completed,8
135691,4/28/2025 9:16,3920847,Riverview Holdings LTD,Retail & Digital Banking,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman,Payment,Completed,8
135692,4/29/2025 9:16,4837261,Highmark Capital LLC,Private Wealth,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks,Payment,Completed,8
135693,4/30/2025 9:16,5748392,Cornerstone Ventures INC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,Payment,Completed,8
135694,5/1/2025 9:16,6293847,Bluewater Group LTD,Commercial Real Estate,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,Payment,Completed,8
135695,5/2/2025 9:16,7483921,Crestwood Partners LLC,Private Wealth,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis,Payment,Completed,8
135696,5/3/2025 9:16,8374291,Oakridge Investments INC,Commercial Banking,W992042,eric.ford@cibc.com,ad\eford,Eric Ford,Payment,Completed,8
135697,5/4/2025 9:16,9283746,Silverstone Holdings LTD,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,Payment,Completed,8
135698,5/5/2025 9:16,1748392,Greenfield Capital LLC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,Payment,Completed,8
135699,5/6/2025 9:16,2839471,Northgate Enterprises INC,Commercial Banking,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram,Payment,Completed,8
135700,5/7/2025 9:16,3748920,Lakeview Advisory LTD,Private Wealth,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,Payment,Completed,8
135701,5/8/2025 9:16,4920371,Redstone Partners LLC,Commercial Banking,W992047,janet.king@cibc.com,ad\jking,Janet King,Payment,Completed,8
135702,5/9/2025 9:16,5837492,Horizon Peak Capital INC,Commercial Real Estate,W992048,keith.lawson@cibc.com,ad\klawson,Keith Lawson,Payment,Completed,8
135703,5/10/2025 9:16,6748391,Westbrook Holdings LTD,Retail & Digital Banking,W992049,lisa.mitchell@cibc.com,ad\lmitchell,Lisa Mitchell,Payment,Completed,8
135704,5/11/2025 9:16,7293841,Maple Leaf Ventures LLC,Commercial Banking,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman,Payment,Completed,8
135705,5/12/2025 9:16,8374926,Goldcrest Financial INC,Private Wealth,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,Payment,Completed,8
135706,5/13/2025 9:16,9283741,Ironbridge Group LTD,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,Payment,Completed,8
135707,5/14/2025 9:16,1839274,Clearfield Capital LLC,Commercial Banking,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn,Payment,Completed,8
135708,5/15/2025 9:16,2748293,Sunridge Investments INC,Other,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross,Advance,Completed,8
135709,5/16/2025 9:16,3920748,Eastwood Holdings LTD,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone,Advance,Completed,8
135710,5/17/2025 9:16,4837294,Whitestone Partners LLC,Commercial Banking,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,Advance,Completed,8
135711,5/18/2025 9:16,5748293,Broadview Capital INC,Commercial Real Estate,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood,Advance,Completed,8
135712,5/19/2025 9:16,6293748,Harborlight Group LTD,Private Wealth,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance,Advance,Completed,8
135713,5/20/2025 9:16,7483926,Ridgeline Enterprises LLC,Commercial Banking,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker,Advance,Completed,8
135714,5/21/2025 9:16,8374293,Stonewall Financial INC,Retail & Digital Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,Advance,Completed,8
135715,5/22/2025 9:16,9283748,Bluestone Holdings LTD,Commercial Real Estate,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,Advance,Completed,8
135716,5/23/2025 9:16,1748293,Greenstone Capital LLC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,Advance,Completed,8
135717,5/24/2025 9:16,2839274,Northbrook Ventures INC,Commercial Banking,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson,Advance,Completed,8
135718,5/25/2025 9:16,3748293,Lakewood Advisory LTD,Commercial Real Estate,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown,Advance,Completed,8
135719,5/26/2025 9:16,4920374,Redfield Partners LLC,Other,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter,Advance,Completed,8
135720,5/27/2025 9:16,5837294,Summit Capital Group INC,Commercial Banking,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,Advance,Completed,8
135721,5/28/2025 9:16,6748293,Westgate Holdings LTD,Private Wealth,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,Advance,Completed,8
135722,5/29/2025 9:16,7293748,Maplewood Enterprises LLC,Commercial Real Estate,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster,Advance,Completed,8
135723,5/30/2025 9:16,8374293,Goldfield Financial INC,Commercial Banking,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia,Advance,Completed,8
135724,5/31/2025 9:16,9283748,Ironstone Group LTD,Retail & Digital Banking,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris,Advance,Completed,8
135725,6/1/2025 9:16,1839274,Clearstone Capital LLC,Private Wealth,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin,Advance,Completed,8
135726,6/2/2025 9:16,2748293,Sunfield Investments INC,Commercial Banking,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,Advance,Completed,8
135727,6/3/2025 9:16,3920748,Eastgate Holdings LTD,Commercial Real Estate,W992073,kate.king@cibc.com,ad\kking,Kate King,Advance,Completed,8
135728,6/4/2025 9:16,4837294,Whitefield Partners LLC,Commercial Banking,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,Advance,Completed,8
135729,6/5/2025 9:16,5748293,Broadstone Capital INC,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,Advance,Completed,8
135730,6/6/2025 9:16,6293748,Harborstone Group LTD,Other,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson,Advance,Completed,8
135731,6/7/2025 9:16,7483926,Ridgewood Enterprises LLC,Commercial Banking,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,Advance,Completed,8
135732,6/8/2025 9:16,8374293,Stonefield Financial INC,Commercial Real Estate,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,Advance,Completed,8
135733,6/9/2025 9:16,9283748,Bluefield Holdings LTD,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,Advance,Completed,8
135734,6/10/2025 9:16,1748293,Greenridge Capital LLC,Commercial Banking,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts,Advance,Completed,8
135735,6/11/2025 9:16,2839274,Northfield Ventures INC,Retail & Digital Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,Advance,Completed,8
135736,6/12/2025 9:16,3748293,Lakefield Advisory LTD,Commercial Real Estate,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor,Advance,Completed,8
135737,6/13/2025 9:16,4920374,Redridge Partners LLC,Commercial Banking,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,Advance,Completed,8
135738,6/14/2025 9:16,5837294,Summit Ridge Group INC,Private Wealth,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,Advance,Completed,8
135739,6/15/2025 9:16,6748293,Westfield Holdings LTD,Commercial Real Estate,W992085,wes.white@cibc.com,ad\wwhite2,Wes White,Advance,Completed,8
135740,6/16/2025 9:16,7293748,Maplefield Enterprises LLC,Commercial Banking,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,Advance,Completed,8
135741,6/17/2025 9:16,8374293,Goldridge Financial INC,Other,W992087,yara.young@cibc.com,ad\yyoung,Yara Young,Advance,Completed,8
135742,6/18/2025 9:16,9283748,Ironfield Group LTD,Private Wealth,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,Advance,Completed,8
135743,6/19/2025 9:16,1839274,Clearridge Capital LLC,Commercial Banking,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen,Advance,Completed,8
135744,6/20/2025 9:16,2748293,Sunstone Investments INC,Commercial Real Estate,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,Advance,Completed,8
135745,6/21/2025 9:16,3920748,Eastfield Holdings LTD,Retail & Digital Banking,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,Advance,Completed,8
135746,6/22/2025 9:16,4837294,Whitestone Partners INC,Commercial Banking,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis,Advance,Completed,8
135747,6/23/2025 9:16,5748293,Broadfield Capital LLC,Private Wealth,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,Advance,Completed,8
135748,6/24/2025 9:16,6293748,Harborfield Group LTD,Commercial Real Estate,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster,Advance,Completed,8
135749,6/25/2025 9:16,7483926,Ridgefield Enterprises INC,Commercial Banking,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia,Advance,Completed,8
135750,6/26/2025 9:16,8374293,Stonegate Financial LLC,Other,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,Advance,Completed,8
135751,6/27/2025 9:16,9283748,Bluegate Holdings LTD,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,Advance,Completed,8
135752,6/28/2025 9:16,1748293,Greengate Capital INC,Commercial Banking,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones,Advance,Completed,8
135753,6/29/2025 9:16,2839274,Northgate Ventures LLC,Commercial Real Estate,W992099,kim.king@cibc.com,ad\kking2,Kim King,Advance,Completed,8
135754,6/30/2025 9:16,3748293,Lakegate Advisory LTD,Private Wealth,W992100,luke.lewis@cibc.com,ad\llewis2,Luke Lewis,Advance,Completed,8
135755,7/1/2025 9:16,4920374,Redgate Partners INC,Commercial Banking,W992101,maya.martin@cibc.com,ad\mmartin2,Maya Martin,Advance,Completed,8
135756,7/2/2025 9:16,5837294,Summit Gate Group LLC,Retail & Digital Banking,W992102,nick.nelson@cibc.com,ad\nnelson2,Nick Nelson,Advance,Completed,8
135757,7/3/2025 9:16,6748293,Westgate Capital LTD,Commercial Real Estate,W992103,olive.owens@cibc.com,ad\oowens2,Olive Owens,Advance,Completed,8
135758,7/4/2025 9:16,7293748,Maplegate Enterprises INC,Commercial Banking,W992104,paul.parker@cibc.com,ad\pparker2,Paul Parker,Advance,Completed,8
135759,7/5/2025 9:16,8374293,Goldgate Financial LLC,Private Wealth,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr,Advance,Completed,8
135760,7/6/2025 9:16,9283748,Irongate Group LTD,Commercial Real Estate,W992106,rick.roberts@cibc.com,ad\rroberts2,Rick Roberts,Advance,Completed,8
135761,7/7/2025 9:16,1839274,Cleargate Capital INC,Other,W992107,sara.smith@cibc.com,ad\ssmith2,Sara Smith,Advance,Completed,8
135762,7/8/2025 9:16,2748293,Sungate Investments LLC,Commercial Banking,W992108,ted.taylor@cibc.com,ad\ttaylor2,Ted Taylor,Advance,Completed,8
135763,7/9/2025 9:16,3920748,Eastgate Capital LTD,Private Wealth,W992109,una.underwood@cibc.com,ad\uunderwood3,Una Underwood,Advance,Completed,8
135764,7/10/2025 9:16,4837294,Whitegate Partners INC,Commercial Real Estate,W992110,vince.vega@cibc.com,ad\vvega2,Vince Vega,Advance,Completed,8
135765,7/11/2025 9:16,5748293,Broadgate Capital LLC,Commercial Banking,W992111,walt.white@cibc.com,ad\wwhite3,Walt White,Advance,Completed,8
135766,7/12/2025 9:16,6293748,Harborgate Group LTD,Private Wealth,W992112,xena.xu@cibc.com,ad\xxu2,Xena Xu,Advance,Completed,8
135767,7/13/2025 9:16,7483926,Ridgegate Enterprises INC,Commercial Real Estate,W992113,yuri.young@cibc.com,ad\yyoung2,Yuri Young,Advance,Completed,8
135768,7/14/2025 9:16,8374293,Stonegate Capital LLC,Commercial Banking,W992114,zara.zhang@cibc.com,ad\zzhang2,Zara Zhang,Advance,Completed,8
135769,7/15/2025 9:16,9283748,Bluegate Financial LTD,Retail & Digital Banking,W992115,adam.allen@cibc.com,ad\aallen2,Adam Allen,Advance,Completed,8
135770,7/16/2025 9:16,1748293,Greengate Holdings INC,Private Wealth,W992116,bella.baker@cibc.com,ad\bbaker2,Bella Baker,Advance,Completed,8
135771,7/17/2025 9:16,1152837,Crestfall Advisors LLC,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,Advance,Completed,8
135772,7/18/2025 9:16,2253948,Pinnacle Ridge INC,Private Wealth,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,Advance,Completed,8
135773,7/19/2025 9:16,3354819,Ironclad Capital LTD,Commercial Real Estate,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards,Advance,Completed,8
135774,7/20/2025 9:16,4455920,Vantage Wealth LLC,Retail & Digital Banking,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,Advance,Completed,8
135775,7/21/2025 9:16,5556831,Apex Ridge Partners INC,Commercial Banking,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams,Advance,Completed,8
135776,7/22/2025 9:16,6657942,BlueSky Holdings LTD,Private Wealth,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,Advance,Completed,8
135777,7/23/2025 9:16,7758053,Northcrest Ventures LLC,Commercial Real Estate,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,Advance,Completed,8
135778,7/24/2025 9:16,8859164,Silvergate Financial INC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,Advance,Completed,8
135779,7/25/2025 9:16,9960275,Redfield Advisory LTD,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,Advance,Completed,8
135780,7/26/2025 9:16,1061386,Lakecrest Capital LLC,Private Wealth,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,Advance,Completed,8
135781,7/27/2025 9:16,2162497,Weststone Holdings INC,Commercial Banking,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,Advance,Completed,8
135782,7/28/2025 9:16,3263508,Eastbrook Ventures LTD,Commercial Real Estate,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,Advance,Completed,8
135783,7/29/2025 9:16,4364619,Goldstone Partners LLC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,Advance,Completed,8
135784,7/30/2025 9:16,5465720,Ironridge Capital INC,Commercial Banking,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,Advance,Completed,8
135785,7/31/2025 9:16,6566831,Clearbrook Holdings LTD,Commercial Real Estate,W992073,kate.king@cibc.com,ad\kking,Kate King,Advance,Completed,8
135786,8/1/2025 9:16,7667942,Sunstone Ventures LLC,Retail & Digital Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,Payment,Completed,8
135787,8/2/2025 9:16,8768053,Ridgecrest Financial INC,Commercial Banking,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,Payment,Completed,8
135788,8/3/2025 9:16,9869164,Maplecrest Advisory LTD,Private Wealth,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,Payment,Completed,8
135789,8/4/2025 9:16,1970275,Northstone Enterprises LLC,Commercial Real Estate,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,Payment,Completed,8
135790,8/5/2025 9:16,2071386,Westridge Capital INC,Other,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,Payment,Completed,8
135791,8/6/2025 9:16,3172497,Eaststone Holdings LTD,Commercial Banking,W992101,maya.martin@cibc.com,ad\mmartin2,Maya Martin,Payment,Completed,8
135792,8/7/2025 9:16,4273508,Goldbrook Ventures LLC,Private Wealth,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr,Payment,Completed,8
135793,8/8/2025 9:16,5374619,Ironbrook Capital INC,Commercial Real Estate,W992110,vince.vega@cibc.com,ad\vvega2,Vince Vega,Payment,Completed,8
135794,8/9/2025 9:16,6475720,Clearstone Ventures LTD,Commercial Banking,W992114,zara.zhang@cibc.com,ad\zzhang2,Zara Zhang,Payment,Completed,8
135795,8/10/2025 9:16,7576831,Sunbrook Holdings LLC,Private Wealth,W992116,bella.baker@cibc.com,ad\bbaker2,Bella Baker,Payment,Completed,8
135796,8/11/2025 9:16,8677942,Ridgestone Financial INC,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,Payment,Completed,8
135797,8/12/2025 9:16,9778053,Maplestone Advisory LTD,Commercial Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,Payment,Completed,8
135798,8/13/2025 9:16,1879164,Northbrook Capital LLC,Retail & Digital Banking,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia,Payment,Completed,8
135799,8/14/2025 9:16,2980275,Westbrook Ventures INC,Private Wealth,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang,Payment,Completed,8
135800,8/15/2025 9:16,3081386,Eastbrook Capital LTD,Commercial Banking,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly,Payment,Completed,8
135801,8/16/2025 9:16,4182497,Goldenbrook Holdings LLC,Commercial Real Estate,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving,Payment,Completed,8
135802,8/17/2025 9:16,5283508,Ironbrook Holdings INC,Private Wealth,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker,Payment,Completed,8
135803,8/18/2025 9:16,6384619,Clearbrook Capital LTD,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,Payment,Completed,8
135804,8/19/2025 9:16,7485720,Sunbrook Ventures LLC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,Payment,Completed,8
135805,8/20/2025 9:16,8586831,Ridgebrook Financial INC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,Payment,Completed,8
135806,8/21/2025 9:16,9687942,Maplebrook Advisory LTD,Private Wealth,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,Payment,Completed,8
135807,8/22/2025 9:16,1788053,Northbrook Holdings LLC,Commercial Banking,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman,Payment,Completed,8
135808,8/23/2025 9:16,2889164,Westbrook Financial INC,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,Payment,Completed,8
135809,8/24/2025 9:16,3990275,Eastbrook Advisory LTD,Retail & Digital Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,Payment,Completed,8
135810,8/25/2025 9:16,4091386,Goldbrook Capital LLC,Private Wealth,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,Payment,Completed,8
135811,8/26/2025 9:16,5192497,Ironbrook Advisory INC,Commercial Banking,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,Payment,Completed,8
135812,8/27/2025 9:16,6293508,Clearbrook Ventures LTD,Commercial Real Estate,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,Payment,Completed,8
135813,8/28/2025 9:16,7394619,Sunbrook Capital LLC,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,Payment,Completed,8
135814,8/29/2025 9:16,8495720,Ridgebrook Holdings INC,Commercial Banking,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,Payment,Completed,8
135815,8/30/2025 9:16,9596831,Maplebrook Capital LTD,Other,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,Payment,Completed,8
135816,8/31/2025 9:16,1697942,Northbrook Ventures LLC,Commercial Real Estate,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,Payment,Completed,8
135817,9/1/2025 9:16,2798053,Westbrook Advisory INC,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,Payment,Completed,8
135818,9/2/2025 9:16,3899164,Eastbrook Holdings LTD,Commercial Banking,W992102,nick.nelson@cibc.com,ad\nnelson2,Nick Nelson,Payment,Completed,8
135819,9/3/2025 9:16,4900275,Goldbrook Advisory LLC,Commercial Real Estate,W992106,rick.roberts@cibc.com,ad\rroberts2,Rick Roberts,Payment,Completed,8
135820,9/4/2025 9:16,5001386,Ironbrook Ventures INC,Private Wealth,W992109,una.underwood@cibc.com,ad\uunderwood3,Una Underwood,Payment,Completed,8
135821,9/5/2025 9:16,6102497,Clearbrook Advisory LTD,Retail & Digital Banking,W992112,xena.xu@cibc.com,ad\xxu2,Xena Xu,Payment,Completed,8
135822,9/6/2025 9:16,7203508,Sunbrook Advisory LLC,Commercial Banking,W992117,carl.clark@cibc.com,ad\cclark2,Carl Clark,Payment,Completed,8
135823,9/7/2025 9:16,8304619,Ridgebrook Ventures INC,Commercial Real Estate,W992119,evan.evans@cibc.com,ad\eevans2,Evan Evans,Payment,Completed,8
135824,9/8/2025 9:16,9405720,Maplebrook Holdings LTD,Private Wealth,W992120,faye.foster@cibc.com,ad\ffoster3,Faye Foster,Payment,Completed,8
135825,9/9/2025 9:16,1506831,Northbrook Advisory LLC,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,Payment,Completed,8
135826,9/10/2025 9:16,2607942,Westbrook Holdings LTD,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,Payment,Completed,8
135827,9/11/2025 9:16,3708053,Eastbrook Ventures LLC,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,Payment,Completed,8
135828,9/12/2025 9:16,4809164,Goldbrook Holdings INC,Private Wealth,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez,Payment,Completed,8
135829,9/13/2025 9:16,5910275,Ironbrook Capital LTD,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,Payment,Completed,8
135830,9/14/2025 9:16,6011386,Clearbrook Holdings LLC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,Payment,Completed,8
135831,9/15/2025 9:16,7112497,Sunbrook Holdings INC,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone,Payment,Completed,8
135832,9/16/2025 9:16,8213508,Ridgebrook Capital LTD,Commercial Banking,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker,Payment,Completed,8
