Account Number,Account Name,LOB,User ID,User Email,User Short Name,User Display Name,RequestedDateTime,CurrentWorkflowKey,WireReferenceNumber,WorkflowStepDescription
2847561,Monarch Industries INC,Commercial Real Estate,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving,4/9/2025 10:55,12,20250402ACBDEFGH000133,Complete
3748291,Silverline Group LTD,Private Wealth,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker,4/10/2025 10:55,12,20250402ACBDEFGH000134,Complete
4920183,Titan Wealth Management LLC,Private Wealth,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang,4/11/2025 10:55,12,20250402ACBDEFGH000135,Complete
5837264,Cascade Investments INC,Commercial Banking,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams,4/12/2025 10:55,12,20250402ACBDEFGH000136,Complete
6291847,Harborview Capital LTD,Commercial Real Estate,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher,4/13/2025 10:55,12,20250402ACBDEFGH000137,Complete
7483920,Zenith Consulting LLC,Other,W992017,cynthia.davis@cibc.com,ad\cdavis,Cynthia Davis,4/14/2025 10:55,12,20250402ACBDEFGH000138,Complete
8374619,Meridian Holdings INC,Commercial Banking,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin,4/15/2025 10:55,12,20250402ACBDEFGH000139,Complete
9274831,Lakeside Financial LTD,Private Wealth,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson,4/16/2025 10:55,12,20250402ACBDEFGH000140,Complete
1837264,Northstar Enterprises LLC,Commercial Real Estate,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens,4/17/2025 10:55,12,20250402ACBDEFGH000141,Complete
2948371,Coastal Dynamics INC,Retail & Digital Banking,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,4/18/2025 10:55,12,20250402ACBDEFGH000142,Complete
3847291,Summit Ridge Capital LTD,Commercial Banking,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker,4/19/2025 10:55,12,20250402ACBDEFGH000143,Complete
4738291,Falcon Asset Management LLC,Private Wealth,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,4/20/2025 10:55,12,20250402ACBDEFGH000144,Complete
5920183,Grandview Investments INC,Commercial Real Estate,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn,4/21/2025 10:55,12,20250402ACBDEFGH000145,Complete
6847392,Clearwater Holdings LTD,Commercial Banking,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos,4/22/2025 10:55,12,20250402ACBDEFGH000146,Complete
7293847,Ironwood Partners LLC,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,4/23/2025 10:55,12,20250402ACBDEFGH000147,Complete
8374920,Pacific Crest Capital INC,Commercial Banking,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,4/24/2025 10:55,12,20250402ACBDEFGH000148,Complete
9483726,Westfield Advisory LTD,Private Wealth,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez,4/25/2025 10:55,12,20250402ACBDEFGH000149,Complete
1293847,Bridgepoint Enterprises LLC,Commercial Real Estate,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,4/26/2025 10:55,12,20250402ACBDEFGH000150,Complete
2748391,Keystone Financial INC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,4/27/2025 10:55,12,20250402ACBDEFGH000151,Complete
3920847,Riverview Holdings LTD,Retail & Digital Banking,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman,4/28/2025 10:55,12,20250402ACBDEFGH000152,Complete
4837261,Highmark Capital LLC,Private Wealth,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks,4/29/2025 10:55,12,20250402ACBDEFGH000153,Complete
5748392,Cornerstone Ventures INC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,4/30/2025 10:55,12,20250402ACBDEFGH000154,Complete
6293847,Bluewater Group LTD,Commercial Real Estate,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,5/1/2025 10:55,12,20250402ACBDEFGH000155,Complete
7483921,Crestwood Partners LLC,Private Wealth,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis,5/2/2025 10:55,12,20250402ACBDEFGH000156,Complete
8374291,Oakridge Investments INC,Commercial Banking,W992042,eric.ford@cibc.com,ad\eford,Eric Ford,5/3/2025 10:55,12,20250402ACBDEFGH000157,Complete
9283746,Silverstone Holdings LTD,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,5/4/2025 10:55,12,20250402ACBDEFGH000158,Complete
1748392,Greenfield Capital LLC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,5/5/2025 10:55,12,20250402ACBDEFGH000159,Complete
2839471,Northgate Enterprises INC,Commercial Banking,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram,5/6/2025 10:55,12,20250402ACBDEFGH000160,Complete
3748920,Lakeview Advisory LTD,Private Wealth,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,5/7/2025 10:55,12,20250402ACBDEFGH000161,Complete
4920371,Redstone Partners LLC,Commercial Banking,W992047,janet.king@cibc.com,ad\jking,Janet King,5/8/2025 10:55,12,20250402ACBDEFGH000162,Complete
5837492,Horizon Peak Capital INC,Commercial Real Estate,W992048,keith.lawson@cibc.com,ad\klawson,Keith Lawson,5/9/2025 10:55,12,20250402ACBDEFGH000163,Complete
6748391,Westbrook Holdings LTD,Retail & Digital Banking,W992049,lisa.mitchell@cibc.com,ad\lmitchell,Lisa Mitchell,5/10/2025 10:55,12,20250402ACBDEFGH000164,Complete
7293841,Maple Leaf Ventures LLC,Commercial Banking,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman,5/11/2025 10:55,12,20250402ACBDEFGH000165,Complete
8374926,Goldcrest Financial INC,Private Wealth,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,5/12/2025 10:55,12,20250402ACBDEFGH000166,Complete
9283741,Ironbridge Group LTD,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,5/13/2025 10:55,12,20250402ACBDEFGH000167,Complete
1839274,Clearfield Capital LLC,Commercial Banking,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn,5/14/2025 10:55,12,20250402ACBDEFGH000168,Complete
2748293,Sunridge Investments INC,Other,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross,5/15/2025 10:55,12,20250402ACBDEFGH000169,Complete
3920748,Eastwood Holdings LTD,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone,5/16/2025 10:55,12,20250402ACBDEFGH000170,Complete
4837294,Whitestone Partners LLC,Commercial Banking,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,5/17/2025 10:55,12,20250402ACBDEFGH000171,Complete
5748293,Broadview Capital INC,Commercial Real Estate,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood,5/18/2025 10:55,12,20250402ACBDEFGH000172,Complete
6293748,Harborlight Group LTD,Private Wealth,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance,5/19/2025 10:55,12,20250402ACBDEFGH000173,Complete
7483926,Ridgeline Enterprises LLC,Commercial Banking,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker,5/20/2025 10:55,12,20250402ACBDEFGH000174,Complete
8374293,Stonewall Financial INC,Retail & Digital Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,5/21/2025 10:55,12,20250402ACBDEFGH000175,Complete
9283748,Bluestone Holdings LTD,Commercial Real Estate,W992061,yolanda.york@cibc.com,ad\yyork,Yolanda York,5/22/2025 10:55,12,20250402ACBDEFGH000176,Complete
1748293,Greenstone Capital LLC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,5/23/2025 10:55,12,20250402ACBDEFGH000177,Complete
2839274,Northbrook Ventures INC,Commercial Banking,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson,5/24/2025 10:55,12,20250402ACBDEFGH000178,Complete
3748293,Lakewood Advisory LTD,Commercial Real Estate,W992064,bob.brown@cibc.com,ad\bbrown,Bob Brown,5/25/2025 10:55,12,20250402ACBDEFGH000179,Complete
4920374,Redfield Partners LLC,Other,W992065,carol.carter@cibc.com,ad\ccarter,Carol Carter,5/26/2025 10:55,12,20250402ACBDEFGH000180,Complete
5837294,Summit Capital Group INC,Commercial Banking,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,5/27/2025 10:55,12,20250402ACBDEFGH000181,Complete
6748293,Westgate Holdings LTD,Private Wealth,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,5/28/2025 10:55,12,20250402ACBDEFGH000182,Complete
7293748,Maplewood Enterprises LLC,Commercial Real Estate,W992068,fred.foster@cibc.com,ad\ffoster,Fred Foster,5/29/2025 10:55,12,20250402ACBDEFGH000183,Complete
8374293,Goldfield Financial INC,Commercial Banking,W992069,gina.garcia@cibc.com,ad\ggarcia,Gina Garcia,5/30/2025 10:55,12,20250402ACBDEFGH000184,Complete
9283748,Ironstone Group LTD,Retail & Digital Banking,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris,5/31/2025 10:55,12,20250402ACBDEFGH000185,Complete
1839274,Clearstone Capital LLC,Private Wealth,W992071,ivy.irwin@cibc.com,ad\iirwin,Ivy Irwin,6/1/2025 10:55,12,20250402ACBDEFGH000186,Complete
2748293,Sunfield Investments INC,Commercial Banking,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,6/2/2025 10:55,12,20250402ACBDEFGH000187,Complete
3920748,Eastgate Holdings LTD,Commercial Real Estate,W992073,kate.king@cibc.com,ad\kking,Kate King,6/3/2025 10:55,12,20250402ACBDEFGH000188,Complete
4837294,Whitefield Partners LLC,Commercial Banking,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis,6/4/2025 10:55,12,20250402ACBDEFGH000189,Complete
5748293,Broadstone Capital INC,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin,6/5/2025 10:55,12,20250402ACBDEFGH000190,Complete
6293748,Harborstone Group LTD,Other,W992076,ned.nelson@cibc.com,ad\nnelson,Ned Nelson,6/6/2025 10:55,12,20250402ACBDEFGH000191,Complete
7483926,Ridgewood Enterprises LLC,Commercial Banking,W992077,ora.owens@cibc.com,ad\oowens,Ora Owens,6/7/2025 10:55,12,20250402ACBDEFGH000192,Complete
8374293,Stonefield Financial INC,Commercial Real Estate,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,6/8/2025 10:55,12,20250402ACBDEFGH000193,Complete
9283748,Bluefield Holdings LTD,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,6/9/2025 10:55,12,20250402ACBDEFGH000194,Complete
1748293,Greenridge Capital LLC,Commercial Banking,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts,6/10/2025 10:55,12,20250402ACBDEFGH000195,Complete
2839274,Northfield Ventures INC,Retail & Digital Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,6/11/2025 10:55,12,20250402ACBDEFGH000196,Complete
3748293,Lakefield Advisory LTD,Commercial Real Estate,W992082,tom.taylor@cibc.com,ad\ttaylor,Tom Taylor,6/12/2025 10:55,12,20250402ACBDEFGH000197,Complete
4920374,Redridge Partners LLC,Commercial Banking,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,6/13/2025 10:55,12,20250402ACBDEFGH000198,Complete
5837294,Summit Ridge Group INC,Private Wealth,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,6/14/2025 10:55,12,20250402ACBDEFGH000199,Complete
6748293,Westfield Holdings LTD,Commercial Real Estate,W992085,wes.white@cibc.com,ad\wwhite2,Wes White,6/15/2025 10:55,12,20250402ACBDEFGH000200,Complete
7293748,Maplefield Enterprises LLC,Commercial Banking,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,6/16/2025 10:55,12,20250402ACBDEFGH000201,Complete
8374293,Goldridge Financial INC,Other,W992087,yara.young@cibc.com,ad\yyoung,Yara Young,6/17/2025 10:55,12,20250402ACBDEFGH000202,Complete
9283748,Ironfield Group LTD,Private Wealth,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,6/18/2025 10:55,12,20250402ACBDEFGH000203,Complete
1839274,Clearridge Capital LLC,Commercial Banking,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen,6/19/2025 10:55,12,20250402ACBDEFGH000204,Complete
2748293,Sunstone Investments INC,Commercial Real Estate,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,6/20/2025 10:55,12,20250402ACBDEFGH000205,Complete
3920748,Eastfield Holdings LTD,Retail & Digital Banking,W992091,clara.clark@cibc.com,ad\cclark,Clara Clark,6/21/2025 10:55,12,20250402ACBDEFGH000206,Complete
4837294,Whitestone Partners INC,Commercial Banking,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis,6/22/2025 10:55,12,20250402ACBDEFGH000207,Complete
5748293,Broadfield Capital LLC,Private Wealth,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,6/23/2025 10:55,12,20250402ACBDEFGH000208,Complete
6293748,Harborfield Group LTD,Commercial Real Estate,W992094,finn.foster@cibc.com,ad\ffoster2,Finn Foster,6/24/2025 10:55,12,20250402ACBDEFGH000209,Complete
7483926,Ridgefield Enterprises INC,Commercial Banking,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia,6/25/2025 10:55,12,20250402ACBDEFGH000210,Complete
8374293,Stonegate Financial LLC,Other,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,6/26/2025 10:55,12,20250402ACBDEFGH000211,Complete
9283748,Bluegate Holdings LTD,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,6/27/2025 10:55,12,20250402ACBDEFGH000212,Complete
1748293,Greengate Capital INC,Commercial Banking,W992098,jake.jones@cibc.com,ad\jjones2,Jake Jones,6/28/2025 10:55,12,20250402ACBDEFGH000213,Complete
2839274,Northgate Ventures LLC,Commercial Real Estate,W992099,kim.king@cibc.com,ad\kking2,Kim King,6/29/2025 10:55,12,20250402ACBDEFGH000214,Complete
3748293,Lakegate Advisory LTD,Private Wealth,W992100,luke.lewis@cibc.com,ad\llewis2,Luke Lewis,6/30/2025 10:55,12,20250402ACBDEFGH000215,Complete
4920374,Redgate Partners INC,Commercial Banking,W992101,maya.martin@cibc.com,ad\mmartin2,Maya Martin,7/1/2025 10:55,12,20250402ACBDEFGH000216,Complete
5837294,Summit Gate Group LLC,Retail & Digital Banking,W992102,nick.nelson@cibc.com,ad\nnelson2,Nick Nelson,7/2/2025 10:55,12,20250402ACBDEFGH000217,Complete
6748293,Westgate Capital LTD,Commercial Real Estate,W992103,olive.owens@cibc.com,ad\oowens2,Olive Owens,7/3/2025 10:55,12,20250402ACBDEFGH000218,Complete
7293748,Maplegate Enterprises INC,Commercial Banking,W992104,paul.parker@cibc.com,ad\pparker2,Paul Parker,7/4/2025 10:55,12,20250402ACBDEFGH000219,Complete
8374293,Goldgate Financial LLC,Private Wealth,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr,7/5/2025 10:55,12,20250402ACBDEFGH000220,Complete
9283748,Irongate Group LTD,Commercial Real Estate,W992106,rick.roberts@cibc.com,ad\rroberts2,Rick Roberts,7/6/2025 10:55,12,20250402ACBDEFGH000221,Complete
1839274,Cleargate Capital INC,Other,W992107,sara.smith@cibc.com,ad\ssmith2,Sara Smith,7/7/2025 10:55,12,20250402ACBDEFGH000222,Complete
2748293,Sungate Investments LLC,Commercial Banking,W992108,ted.taylor@cibc.com,ad\ttaylor2,Ted Taylor,7/8/2025 10:55,12,20250402ACBDEFGH000223,Complete
3920748,Eastgate Capital LTD,Private Wealth,W992109,una.underwood@cibc.com,ad\uunderwood3,Una Underwood,7/9/2025 10:55,12,20250402ACBDEFGH000224,Complete
4837294,Whitegate Partners INC,Commercial Real Estate,W992110,vince.vega@cibc.com,ad\vvega2,Vince Vega,7/10/2025 10:55,12,20250402ACBDEFGH000225,Complete
5748293,Broadgate Capital LLC,Commercial Banking,W992111,walt.white@cibc.com,ad\wwhite3,Walt White,7/11/2025 10:55,12,20250402ACBDEFGH000226,Complete
6293748,Harborgate Group LTD,Private Wealth,W992112,xena.xu@cibc.com,ad\xxu2,Xena Xu,7/12/2025 10:55,12,20250402ACBDEFGH000227,Complete
7483926,Ridgegate Enterprises INC,Commercial Real Estate,W992113,yuri.young@cibc.com,ad\yyoung2,Yuri Young,7/13/2025 10:55,12,20250402ACBDEFGH000228,Complete
8374293,Stonegate Capital LLC,Commercial Banking,W992114,zara.zhang@cibc.com,ad\zzhang2,Zara Zhang,7/14/2025 10:55,12,20250402ACBDEFGH000229,Complete
9283748,Bluegate Financial LTD,Retail & Digital Banking,W992115,adam.allen@cibc.com,ad\aallen2,Adam Allen,7/15/2025 10:55,12,20250402ACBDEFGH000230,Complete
1748293,Greengate Holdings INC,Private Wealth,W992116,bella.baker@cibc.com,ad\bbaker2,Bella Baker,7/16/2025 10:55,12,20250402ACBDEFGH000231,Complete
1152837,Crestfall Advisors LLC,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,7/17/2025 10:55,12,20250402ACBDEFGH000232,Complete
2253948,Pinnacle Ridge INC,Private Wealth,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,7/18/2025 10:55,12,20250402ACBDEFGH000233,Complete
3354819,Ironclad Capital LTD,Commercial Real Estate,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards,7/19/2025 10:55,12,20250402ACBDEFGH000234,Complete
4455920,Vantage Wealth LLC,Retail & Digital Banking,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,7/20/2025 10:55,12,20250402ACBDEFGH000235,Complete
5556831,Apex Ridge Partners INC,Commercial Banking,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams,7/21/2025 10:55,12,20250402ACBDEFGH000236,Complete
6657942,BlueSky Holdings LTD,Private Wealth,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,7/22/2025 10:55,12,20250402ACBDEFGH000237,Complete
7758053,Northcrest Ventures LLC,Commercial Real Estate,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,7/23/2025 10:55,12,20250402ACBDEFGH000238,Complete
8859164,Silvergate Financial INC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,7/24/2025 10:55,12,20250402ACBDEFGH000239,Complete
9960275,Redfield Advisory LTD,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,7/25/2025 10:55,12,20250402ACBDEFGH000240,Complete
1061386,Lakecrest Capital LLC,Private Wealth,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,7/26/2025 10:55,12,20250402ACBDEFGH000241,Complete
2162497,Weststone Holdings INC,Commercial Banking,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,7/27/2025 10:55,12,20250402ACBDEFGH000242,Complete
3263508,Eastbrook Ventures LTD,Commercial Real Estate,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,7/28/2025 10:55,12,20250402ACBDEFGH000243,Complete
4364619,Goldstone Partners LLC,Private Wealth,W992062,zane.zimmerman@cibc.com,ad\zzimmerman,Zane Zimmerman,7/29/2025 10:55,12,20250402ACBDEFGH000244,Complete
5465720,Ironridge Capital INC,Commercial Banking,W992066,dan.davis@cibc.com,ad\ddavis,Dan Davis,7/30/2025 10:55,12,20250402ACBDEFGH000245,Complete
6566831,Clearbrook Holdings LTD,Commercial Real Estate,W992073,kate.king@cibc.com,ad\kking,Kate King,7/31/2025 10:55,12,20250402ACBDEFGH000246,Complete
7667942,Sunstone Ventures LLC,Retail & Digital Banking,W992081,sue.smith@cibc.com,ad\ssmith,Sue Smith,8/1/2025 10:55,12,20250402ACBDEFGH000247,Complete
8768053,Ridgecrest Financial INC,Commercial Banking,W992086,xander.xu@cibc.com,ad\xxu,Xander Xu,8/2/2025 10:55,12,20250402ACBDEFGH000248,Complete
9869164,Maplecrest Advisory LTD,Private Wealth,W992084,vic.vega@cibc.com,ad\vvega,Vic Vega,8/3/2025 10:55,12,20250402ACBDEFGH000249,Complete
1970275,Northstone Enterprises LLC,Commercial Real Estate,W992090,ben.baker@cibc.com,ad\bbaker,Ben Baker,8/4/2025 10:55,12,20250402ACBDEFGH000250,Complete
2071386,Westridge Capital INC,Other,W992096,hugo.harris@cibc.com,ad\hharris2,Hugo Harris,8/5/2025 10:55,12,20250402ACBDEFGH000251,Complete
3172497,Eaststone Holdings LTD,Commercial Banking,W992101,maya.martin@cibc.com,ad\mmartin2,Maya Martin,8/6/2025 10:55,12,20250402ACBDEFGH000252,Complete
4273508,Goldbrook Ventures LLC,Private Wealth,W992105,quinn.quinn2@cibc.com,ad\qquinn2,Quinn Quinn Jr,8/7/2025 10:55,12,20250402ACBDEFGH000253,Complete
5374619,Ironbrook Capital INC,Commercial Real Estate,W992110,vince.vega@cibc.com,ad\vvega2,Vince Vega,8/8/2025 10:55,12,20250402ACBDEFGH000254,Complete
6475720,Clearstone Ventures LTD,Commercial Banking,W992114,zara.zhang@cibc.com,ad\zzhang2,Zara Zhang,8/9/2025 10:55,12,20250402ACBDEFGH000255,Complete
7576831,Sunbrook Holdings LLC,Private Wealth,W992116,bella.baker@cibc.com,ad\bbaker2,Bella Baker,8/10/2025 10:55,12,20250402ACBDEFGH000256,Complete
8677942,Ridgestone Financial INC,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,8/11/2025 10:55,12,20250402ACBDEFGH000257,Complete
9778053,Maplestone Advisory LTD,Commercial Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,8/12/2025 10:55,12,20250402ACBDEFGH000258,Complete
1879164,Northbrook Capital LLC,Retail & Digital Banking,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia,8/13/2025 10:55,12,20250402ACBDEFGH000259,Complete
2980275,Westbrook Ventures INC,Private Wealth,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang,8/14/2025 10:55,12,20250402ACBDEFGH000260,Complete
3081386,Eastbrook Capital LTD,Commercial Banking,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly,8/15/2025 10:55,12,20250402ACBDEFGH000261,Complete
4182497,Goldenbrook Holdings LLC,Commercial Real Estate,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving,8/16/2025 10:55,12,20250402ACBDEFGH000262,Complete
5283508,Ironbrook Holdings INC,Private Wealth,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker,8/17/2025 10:55,12,20250402ACBDEFGH000263,Complete
6384619,Clearbrook Capital LTD,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,8/18/2025 10:55,12,20250402ACBDEFGH000264,Complete
7485720,Sunbrook Ventures LLC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,8/19/2025 10:55,12,20250402ACBDEFGH000265,Complete
8586831,Ridgebrook Financial INC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,8/20/2025 10:55,12,20250402ACBDEFGH000266,Complete
9687942,Maplebrook Advisory LTD,Private Wealth,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,8/21/2025 10:55,12,20250402ACBDEFGH000267,Complete
1788053,Northbrook Holdings LLC,Commercial Banking,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman,8/22/2025 10:55,12,20250402ACBDEFGH000268,Complete
2889164,Westbrook Financial INC,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,8/23/2025 10:55,12,20250402ACBDEFGH000269,Complete
3990275,Eastbrook Advisory LTD,Retail & Digital Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,8/24/2025 10:55,12,20250402ACBDEFGH000270,Complete
4091386,Goldbrook Capital LLC,Private Wealth,W992067,eve.edwards@cibc.com,ad\eedwards,Eve Edwards,8/25/2025 10:55,12,20250402ACBDEFGH000271,Complete
5192497,Ironbrook Advisory INC,Commercial Banking,W992072,jack.jones@cibc.com,ad\jjones,Jack Jones,8/26/2025 10:55,12,20250402ACBDEFGH000272,Complete
6293508,Clearbrook Ventures LTD,Commercial Real Estate,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker,8/27/2025 10:55,12,20250402ACBDEFGH000273,Complete
7394619,Sunbrook Capital LLC,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn,8/28/2025 10:55,12,20250402ACBDEFGH000274,Complete
8495720,Ridgebrook Holdings INC,Commercial Banking,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood,8/29/2025 10:55,12,20250402ACBDEFGH000275,Complete
9596831,Maplebrook Capital LTD,Other,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang,8/30/2025 10:55,12,20250402ACBDEFGH000276,Complete
1697942,Northbrook Ventures LLC,Commercial Real Estate,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans,8/31/2025 10:55,12,20250402ACBDEFGH000277,Complete
2798053,Westbrook Advisory INC,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin,9/1/2025 10:55,12,20250402ACBDEFGH000278,Complete
3899164,Eastbrook Holdings LTD,Commercial Banking,W992102,nick.nelson@cibc.com,ad\nnelson2,Nick Nelson,9/2/2025 10:55,12,20250402ACBDEFGH000279,Complete
