AsOfDate,INSTR_OFFICER,INSTR_OFFICER_PC,INSTR_OFFICER_PCNAME,INSTR_OFFICER_PC_NBR_DESC,INSTR_OFFICER_LOB,INSTR_OFFICER_LOB2,INSTR_OFFICER_LOB3,CUST_SCNDRY_OFFICER,CUST_SCNDRY_OFFICER_PC,CUST_SCNDRY_OFFICER_PCNAME,CUST_SCNDRY_OFFICER_PC_NBR_DESC,CUST_SCNDRY_OFFICER_LOB,CUST_SCNDRY_OFFICER_LOB2,CUST_SCNDRY_OFFICER_LOB3,INSTR_PC,INSTR_PCNAME,INSTR_PC_NBR_DESC,INSTR_LOB,INSTR_LOB2,INSTR_LOB3,INSTR_ACCTNBR,INSTR_ACCTNBR_MASKED,INSTR_PRODUCT_TYPE_DESC,INSTR_CUSTNBR,CUST_NAME,CUST_PC,CUST_PCNAME,CUST_PC_NBR_DESC,CUST_LOB,CUST_LOB2,CUST_LOB3,CUST_NAME_MASKED,CUSTOMER_TYPE,INSTR_HOUSEHOLD_ID,INSTR_HOUSEHOLD_NAME,PRODUCT_TYPE
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000603781,*****3781,COMMERCIAL,802567,AURELIAN CAPITAL GROUP LLC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,AURE*****,O,2301220000005670,AURELIAN CAPITAL GROUP LLC,Commitment
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000617459,*****7459,BUSINESS DDA,802567,AURELIAN CAPITAL GROUP LLC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,AURE*****,O,2301220000005670,AURELIAN CAPITAL GROUP LLC,Deposit
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000629103,*****9103,COMMERCIAL CARDS,819034,MERIDIAN ASSET ADVISORS LLC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,MERI*****,O,2205110000002140,MERIDIAN ASSET ADVISORS LLC,Commitment
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,00006384417,*****4417,BUSINESS DDA,835290,TALBOT BRIDGE INVESTMENTS LLC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,TALB*****,O,2308090000006830,TALBOT BRIDGE INVESTMENTS LLC,Deposit
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000651782,*****1782,COMMERCIAL,847615,IRONGATE EQUITY PARTNERS INC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,IRON*****,O,2402170000007290,IRONGATE EQUITY PARTNERS INC,Commitment
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000664390,*****4390,COMMERCIAL CARDS,847615,IRONGATE EQUITY PARTNERS INC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,IRON*****,O,2402170000007290,IRONGATE EQUITY PARTNERS INC,Commitment
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000678214,*****8214,BUSINESS DDA,861023,WESTFORD PRIVATE EQUITY LLC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,WEST*****,O,2311040000008110,WESTFORD PRIVATE EQUITY LLC,Deposit
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000691547,*****1547,COMMERCIAL,861023,WESTFORD PRIVATE EQUITY LLC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,WEST*****,O,2311040000008110,WESTFORD PRIVATE EQUITY LLC,Commitment
6/1/2026,RACHEL DUNMORE (639),88,SOUTHWEST-FIN,88: SOUTHWEST-FIN,Commercial Banking,Specialized Industries,Financial Services,THOMAS BRECK (227),341,IL341,341: IL341,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,0000704832,*****4832,BUSINESS DDA,874390,HARLOW STRUCTURED FINANCE INC,88,CBK FinSvc4,88: CBK FinSvc4,Commercial Banking,Specialized Industries,Financial Services,HARL*****,O,2404260000009450,HARLOW STRUCTURED FINANCE INC,Deposit
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000718293,*****8293,COMMERCIAL,901234,GREYSTONE FABRICATION LLC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,GREY*****,O,2102080000001630,GREYSTONE FABRICATION LLC,Commitment
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000729841,*****9841,BUSINESS DDA,901234,GREYSTONE FABRICATION LLC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,GREY*****,O,2102080000001630,GREYSTONE FABRICATION LLC,Deposit
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000741560,*****1560,COMMERCIAL CARDS,915678,IRONCLAD PRECISION PARTS INC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,IRON*****,O,2207150000002870,IRONCLAD PRECISION PARTS INC,Commitment
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000753204,*****3204,BUSINESS DDA,915678,IRONCLAD PRECISION PARTS INC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,IRON*****,O,2207150000002870,IRONCLAD PRECISION PARTS INC,Deposit
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000764917,*****4917,COMMERCIAL,928345,DURATEK INDUSTRIAL SUPPLY LLC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,DURA*****,O,2310220000003190,DURATEK INDUSTRIAL SUPPLY LLC,Commitment
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000776583,*****6583,BUSINESS DDA,928345,DURATEK INDUSTRIAL SUPPLY LLC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,DURA*****,O,2310220000003190,DURATEK INDUSTRIAL SUPPLY LLC,Deposit
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000788241,*****8241,COMMERCIAL CARDS,941207,SUMMIT RIDGE TOOLING INC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,SUMM*****,O,2401110000004520,SUMMIT RIDGE TOOLING INC,Commitment
6/1/2026,DEREK FONTAINE (773),55,NORTHEAST-MFG,55: NORTHEAST-MFG,Commercial Banking,Specialized Industries,Manufacturing,SYLVIA CRANE (409),463,IL463,463: IL463,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,0000799865,*****9865,BUSINESS DDA,941207,SUMMIT RIDGE TOOLING INC,55,CBK Mfg1,55: CBK Mfg1,Commercial Banking,Specialized Industries,Manufacturing,SUMM*****,O,2401110000004520,SUMMIT RIDGE TOOLING INC,Deposit
6/1/2026,MONICA TRAN (884),71,SOUTHEAST-RE,71: SOUTHEAST-RE,Commercial Banking,Specialized Industries,Real Estate,CARLOS VEGA (512),529,IL529,529: IL529,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,0000812374,*****2374,COMMERCIAL,1023456,HARBORVIEW DEVELOPMENT LLC,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,HARB*****,O,2103190000005740,HARBORVIEW DEVELOPMENT LLC,Commitment
6/1/2026,MONICA TRAN (884),71,SOUTHEAST-RE,71: SOUTHEAST-RE,Commercial Banking,Specialized Industries,Real Estate,CARLOS VEGA (512),529,IL529,529: IL529,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,0000824019,*****4019,BUSINESS DDA,1023456,HARBORVIEW DEVELOPMENT LLC,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,HARB*****,O,2103190000005740,HARBORVIEW DEVELOPMENT LLC,Deposit
6/1/2026,MONICA TRAN (884),71,SOUTHEAST-RE,71: SOUTHEAST-RE,Commercial Banking,Specialized Industries,Real Estate,CARLOS VEGA (512),529,IL529,529: IL529,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,0000835762,*****5762,COMMERCIAL,1037891,STONEGATE PROPERTY GROUP INC,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,STON*****,O,2206280000006980,STONEGATE PROPERTY GROUP INC,Commitment
6/1/2026,MONICA TRAN (884),71,SOUTHEAST-RE,71: SOUTHEAST-RE,Commercial Banking,Specialized Industries,Real Estate,CARLOS VEGA (512),529,IL529,529: IL529,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,0000847438,*****7438,BUSINESS DDA,1037891,STONEGATE PROPERTY GROUP INC,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,STON*****,O,2206280000006980,STONEGATE PROPERTY GROUP INC,Deposit
6/1/2026,MONICA TRAN (884),71,SOUTHEAST-RE,71: SOUTHEAST-RE,Commercial Banking,Specialized Industries,Real Estate,CARLOS VEGA (512),529,IL529,529: IL529,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,0000859103,*****9103,COMMERCIAL CARDS,1052340,LAKEVIEW MULTIFAMILY PARTNERS LLC,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,LAKE*****,O,2309140000008230,LAKEVIEW MULTIFAMILY PARTNERS LLC,Commitment
6/1/2026,MONICA TRAN (884),71,SOUTHEAST-RE,71: SOUTHEAST-RE,Commercial Banking,Specialized Industries,Real Estate,CARLOS VEGA (512),529,IL529,529: IL529,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,0000870847,*****0847,BUSINESS DDA,1052340,LAKEVIEW MULTIFAMILY PARTNERS LLC,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,LAKE*****,O,2309140000008230,LAKEVIEW MULTIFAMILY PARTNERS LLC,Deposit
6/1/2026,MONICA TRAN (884),71,SOUTHEAST-RE,71: SOUTHEAST-RE,Commercial Banking,Specialized Industries,Real Estate,CARLOS VEGA (512),529,IL529,529: IL529,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,0000882591,*****2591,COMMERCIAL,1066789,REDWOOD COMMERCIAL REALTY LLC,71,CBK RealEst2,71: CBK RealEst2,Commercial Banking,Specialized Industries,Real Estate,REDW*****,O,2405030000009560,REDWOOD COMMERCIAL REALTY LLC,Commitment
6/1/2026,KEVIN MARSH (356),93,PLAINS-AGRI,93: PLAINS-AGRI,Commercial Banking,Specialized Industries,Agriculture,LINDA FORSYTHE (618),672,IL672,672: IL672,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,0000894236,*****4236,COMMERCIAL,1101234,GOLDEN PLAINS GRAIN LLC,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,GOLD*****,O,2104070000001120,GOLDEN PLAINS GRAIN LLC,Commitment
6/1/2026,KEVIN MARSH (356),93,PLAINS-AGRI,93: PLAINS-AGRI,Commercial Banking,Specialized Industries,Agriculture,LINDA FORSYTHE (618),672,IL672,672: IL672,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,0000905871,*****5871,BUSINESS DDA,1101234,GOLDEN PLAINS GRAIN LLC,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,GOLD*****,O,2104070000001120,GOLDEN PLAINS GRAIN LLC,Deposit
6/1/2026,KEVIN MARSH (356),93,PLAINS-AGRI,93: PLAINS-AGRI,Commercial Banking,Specialized Industries,Agriculture,LINDA FORSYTHE (618),672,IL672,672: IL672,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,0000917543,*****7543,COMMERCIAL CARDS,1115678,HEARTLAND SEED COOPERATIVE INC,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,HEAR*****,O,2208210000002350,HEARTLAND SEED COOPERATIVE INC,Commitment
6/1/2026,KEVIN MARSH (356),93,PLAINS-AGRI,93: PLAINS-AGRI,Commercial Banking,Specialized Industries,Agriculture,LINDA FORSYTHE (618),672,IL672,672: IL672,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,0000929187,*****9187,BUSINESS DDA,1115678,HEARTLAND SEED COOPERATIVE INC,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,HEAR*****,O,2208210000002350,HEARTLAND SEED COOPERATIVE INC,Deposit
6/1/2026,KEVIN MARSH (356),93,PLAINS-AGRI,93: PLAINS-AGRI,Commercial Banking,Specialized Industries,Agriculture,LINDA FORSYTHE (618),672,IL672,672: IL672,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,0000940824,*****0824,COMMERCIAL,1130123,PRAIRIEWIND LIVESTOCK LLC,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,PRAI*****,O,2312180000003670,PRAIRIEWIND LIVESTOCK LLC,Commitment
6/1/2026,KEVIN MARSH (356),93,PLAINS-AGRI,93: PLAINS-AGRI,Commercial Banking,Specialized Industries,Agriculture,LINDA FORSYTHE (618),672,IL672,672: IL672,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,0000952461,*****2461,BUSINESS DDA,1130123,PRAIRIEWIND LIVESTOCK LLC,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,PRAI*****,O,2312180000003670,PRAIRIEWIND LIVESTOCK LLC,Deposit
6/1/2026,KEVIN MARSH (356),93,PLAINS-AGRI,93: PLAINS-AGRI,Commercial Banking,Specialized Industries,Agriculture,LINDA FORSYTHE (618),672,IL672,672: IL672,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,0000964108,*****4108,COMMERCIAL CARDS,1144567,SILO RIDGE FARMS INC,93,CBK Agri3,93: CBK Agri3,Commercial Banking,Specialized Industries,Agriculture,SILO*****,O,2403250000004890,SILO RIDGE FARMS INC,Commitment
6/1/2026,ANGELA PIERCE (267),79,MIDATLANTIC-ENE,79: MIDATLANTIC-ENE,Commercial Banking,Specialized Industries,Energy,ROBERT QUINN (533),587,IL587,587: IL587,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,79,CBK Energy5,79: CBK Energy5,Commercial Banking,Specialized Industries,Energy,0000975743,*****5743,COMMERCIAL,1201345,CLEARWATER ENERGY SOLUTIONS LLC,79,CBK Energy5,79: CBK Energy5,Commercial Banking,Specialized Industries,Energy,CLEA*****,O,2105120000005210,CLEARWATER ENERGY SOLUTIONS LLC,Commitment
6/1/2026,ANGELA PIERCE (267),79,MIDATLANTIC-ENE,79: MIDATLANTIC-ENE,Commercial Banking,Specialized Industries,Energy,ROBERT QUINN (533),587,IL587,587: IL587,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,79,CBK Energy5,79: CBK Energy5,Commercial Banking,Specialized Industries,Energy,0000987382,*****7382,BUSINESS DDA,1201345,CLEARWATER ENERGY SOLUTIONS LLC,79,CBK Energy5,79: CBK Energy5,Commercial Banking,Specialized Industries,Energy,CLEA*****,O,2105120000005210,CLEARWATER ENERGY SOLUTIONS LLC,Deposit
